accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z
1.745369503,0.6622516106,0.5573603265,-0.4901247323,1.451571822,0.2740475833
1.621515598,0.4174684562,0.3516629819,-0.3192467391,1.71562767,0.3876442015
1.031498034,0.3694808165,0.2143675578,-0.1556224078,1.883189678,0.474412322
0.4661691396,0.1572163685,0.2820966937,-0.003740989137,1.943646669,0.5307186842
0.2371492254,0.09639949618,0.453084544,0.128074035,1.900176764,0.5612077117
0.09939816654,0.2524702017,0.7319698744,0.2404620945,1.740793467,0.5532203317
-0.01369710144,0.3271379047,1.182549158,0.335701257,1.541176796,0.513679862
-0.2446313979,0.3918962081,1.287647947,0.3899623752,1.334393859,0.4583308697
-0.2728574485,0.5284907904,1.328943834,0.4062268436,1.176393986,0.3990291953
-0.2883688328,0.6440744411,1.23105746,0.3775680363,1.114672065,0.3332757652
-0.5546949067,0.5789081415,0.8712462432,0.2770949602,1.130501866,0.2753573358
-0.8289328497,0.2015095376,0.7105126604,0.1136759147,1.164156199,0.2411671579
-0.8378332184,-0.1304004038,0.6899690541,-0.03090710007,1.143123627,0.2408460379
-0.7012213927,-0.03099105833,0.6398205831,-0.101626277,1.058712363,0.2691298723
-0.494346821,0.3427428856,0.4406365658,-0.1117155328,0.970033884,0.2989630103
-0.3821322083,0.4892305009,0.2203355263,-0.09123688936,0.8544281721,0.3106204569
-0.5029590204,0.3908694954,0.04024550115,-0.05112941191,0.7759664655,0.291233927
-0.880440188,0.1475324482,-0.1567658482,-0.005113982596,0.753564477,0.2370516509
-1.239919543,-0.05361117868,-0.3316974677,0.05192260444,0.7795194983,0.1553314477
-1.458342513,-0.1218544016,-0.4270160368,0.0974868983,0.8201113939,0.05168814212
-1.640560344,-0.4238584495,-0.5619716197,0.06492396444,0.8937757015,-0.002453142311
-1.466061856,-0.1817547435,-0.5550654936,-0.03598507866,0.901237905,0.0176329501
-0.8787029889,0.3052989979,-0.2314028638,-0.104513742,0.7543518543,0.05627185479
-0.4343526633,0.4449886236,0.07358253808,-0.1469259113,0.5206743479,0.0636267066
-0.217332399,0.2709861016,0.1848445262,-0.1509895623,0.4080769122,0.01216083579
-0.2884095301,0.2359820083,-0.3125923697,-0.2345686108,0.27287063,-0.002877502004
-0.06745937903,0.02776829689,-0.1746288372,-0.2722803652,0.1082636118,0.05288351327
0.05829232223,0.1626610437,-0.04114040416,-0.3381832242,-0.04639201239,0.1264043301
-0.07396437701,0.09736030403,0.000900748232,-0.4446085393,-0.1432667226,0.2162832618
0.1430665548,0.4829699792,0.03330897988,-0.4808791876,-0.192178607,0.2771790922
0.1382711372,0.4391606481,-0.1526835473,-0.4736060202,-0.1523291469,0.2774895132
-0.3346341057,-0.139276661,-0.5871183359,-0.4149285853,-0.009389303625,0.2451169342
-0.7252801676,-0.5439601622,-0.982058734,-0.3298143744,0.1907467246,0.2080754191
-0.9857589037,-0.7001137237,-1.231556642,-0.2742717564,0.4134261608,0.2055304945
-0.860357331,-0.2489262455,-1.203176351,-0.2476582527,0.5352772474,0.2268863171
-0.5107376916,0.3293792539,-0.7838321636,-0.2189038396,0.5092269778,0.2212295085
-0.343827466,0.3653424015,-0.2777589568,-0.228043288,0.4538092017,0.1829176545
-0.2948611905,0.1796235767,-0.0861573575,-0.2810457647,0.4475017786,0.139903605
-0.3327975379,0.06761179311,-0.09467150334,-0.3566423953,0.403265655,0.1088863537
-0.2271276707,0.02267111988,0.1212432839,-0.4344980419,0.3083351552,0.1194702908
0.06786825209,-0.002182896997,0.3590782266,-0.5429129004,0.2527877986,0.1441393644
