ax,ay,az,wx,wy,wz
0.26,-0.01,0.4,-0.07,0.06,0.03
0.3,-0.01,0.45,0.01,0.03,0.01
0.31,-0.01,0.46,0.07,0,0
0.29,-0.04,0.29,0.1,-0.01,-0.01
0.25,-0.04,0.1,0.1,-0.02,-0.02
0.22,-0.05,-0.05,0.09,-0.04,-0.02
0.19,0.03,-0.26,0.08,-0.06,-0.02
0.16,0.07,-0.38,0.07,-0.07,-0.03
0.18,0.13,-0.36,0.06,-0.07,-0.06
0.24,0.18,-0.27,0.06,-0.05,-0.08
0.3,0.17,-0.2,0.05,-0.03,-0.1
0.32,0.14,-0.15,0.04,0,-0.11
0.27,0.07,-0.1,0.03,0.02,-0.11
0.19,-0.03,-0.1,0.03,0.04,-0.1
0.12,-0.11,-0.12,0.02,0.05,-0.07
0.03,-0.19,-0.19,0.01,0.07,-0.05
-0.02,-0.16,-0.22,-0.01,0.1,-0.04
0.03,-0.12,-0.2,-0.04,0.13,-0.04
0.01,-0.02,-0.19,-0.08,0.16,-0.05
-0.04,0.02,-0.25,-0.12,0.19,-0.07
-0.04,0.03,-0.28,-0.16,0.2,-0.08
-0.07,0.05,-0.27,-0.21,0.19,-0.1
-0.18,0.01,-0.3,-0.23,0.16,-0.09
-0.26,-0.07,-0.29,-0.22,0.12,-0.08
-0.32,-0.21,-0.2,-0.19,0.09,-0.06
-0.27,-0.3,-0.01,-0.14,0.07,-0.03
-0.21,-0.37,0.17,-0.09,0.08,0.01
-0.25,-0.38,0.27,-0.08,0.12,0.03
-0.26,-0.34,0.32,-0.07,0.15,0.03
-0.06,-0.22,0.33,-0.08,0.21,0.02
0.14,-0.02,0.39,-0.09,0.25,-0.01
0.2,0.1,0.31,-0.12,0.28,-0.03
0.18,0.12,0.12,-0.14,0.3,-0.03
0.02,0.05,-0.03,-0.16,0.3,-0.01
-0.13,-0.06,-0.16,-0.16,0.27,0.01
-0.17,-0.07,-0.27,-0.14,0.24,0.01
-0.06,-0.01,-0.23,-0.1,0.19,0
0,0.03,-0.18,-0.05,0.14,0
0.04,-0.05,-0.12,-0.01,0.11,0.02
0.04,-0.16,-0.08,0.02,0.07,0.03
0.05,-0.13,-0.21,0.02,0.02,0.03
0.15,-0.05,-0.35,0.01,-0.02,0.02
0.16,0.07,-0.45,-0.02,-0.04,-0.01
0.12,0.19,-0.49,-0.05,-0.03,-0.03
0.05,0.19,-0.41,-0.08,-0.03,-0.04
-0.02,0.12,-0.42,-0.1,-0.02,-0.03
-0.1,0.02,-0.42,-0.11,-0.05,-0.02
-0.16,-0.1,-0.37,-0.1,-0.09,-0.01
-0.12,-0.16,-0.33,-0.08,-0.15,-0.01
-0.04,-0.12,-0.21,-0.05,-0.19,-0.04
0.14,0.04,-0.18,-0.05,-0.19,-0.09
0.2,0.17,-0.1,-0.09,-0.17,-0.12
0.19,0.13,-0.08,-0.13,-0.12,-0.13
0.2,0.09,-0.06,-0.17,-0.03,-0.12
0.2,0.05,0.08,-0.21,0.06,-0.1
0.14,-0.09,0.2,-0.22,0.11,-0.05
0.04,-0.21,0.16,-0.22,0.12,0
-0.03,-0.28,0.05,-0.2,0.11,0.01
-0.02,-0.13,0.03,-0.16,0.08,-0.03
0.13,0.03,0,-0.12,0.04,-0.09
0.3,0.22,-0.02,-0.11,0.02,-0.14
0.26,0.28,-0.04,-0.12,0.01,-0.16
0.04,0.11,-0.17,-0.14,0.02,-0.14
-0.1,-0.1,-0.19,-0.16,0.05,-0.11
-0.04,-0.15,-0.06,-0.16,0.07,-0.1
0.02,-0.06,-0.06,-0.17,0.08,-0.1
0.07,-0.07,-0.09,-0.16,0.06,-0.08
-0.05,-0.12,-0.21,-0.14,0.01,-0.07
-0.05,-0.12,-0.21,-0.1,-0.07,-0.07
-0.02,-0.11,-0.21,-0.05,-0.14,-0.1
0.05,-0.04,-0.13,-0.02,-0.21,-0.13
0.09,0.03,-0.15,0.01,-0.26,-0.15
0.08,0,-0.08,0.02,-0.28,-0.15
0.02,-0.1,0.04,0.03,-0.29,-0.14
-0.01,-0.17,0.13,0.05,-0.3,-0.11
-0.05,-0.24,0.22,0.08,-0.28,-0.1
0.01,-0.19,0.4,0.11,-0.26,-0.11
0.15,-0.07,0.44,0.13,-0.21,-0.12
0.17,0,0.44,0.13,-0.15,-0.11
0.06,-0.06,0.32,0.11,-0.09,-0.07
-0.06,-0.12,0.16,0.09,-0.03,-0.04
-0.08,-0.14,0.05,0.07,0.02,0
-0.04,-0.07,-0.01,0.05,0.03,0.01
-0.05,-0.01,-0.17,0.03,-0.02,0.01
-0.03,0.09,-0.47,0.03,-0.1,-0.01
-0.04,0.18,-0.61,0.03,-0.18,-0.04
-0.04,0.24,-0.68,0.06,-0.26,-0.08
0.06,0.25,-0.53,0.08,-0.29,-0.12
0.19,0.24,-0.24,0.1,-0.28,-0.16
0.17,0.18,0.01,0.1,-0.26,-0.17
0.11,0.07,0.07,0.09,-0.24,-0.17
0.02,-0.02,0.04,0.07,-0.22,-0.16
-0.05,-0.01,-0.02,0.02,-0.22,-0.16
-0.05,0.05,-0.12,-0.02,-0.21,-0.16
-0.02,0.16,-0.12,-0.07,-0.2,-0.18
-0.02,0.19,-0.11,-0.09,-0.18,-0.19
0.03,0.16,-0.02,-0.1,-0.14,-0.19
-0.02,0.06,0.11,-0.1,-0.13,-0.19
-0.03,-0.03,0.12,-0.08,-0.1,-0.18
-0.04,-0.07,0.21,-0.07,-0.08,-0.18
-0.08,-0.14,0.26,-0.05,-0.07,-0.14
-0.19,-0.25,0.13,-0.04,-0.07,-0.11
-0.33,-0.37,0.07,-0.03,-0.1,-0.07
-0.34,-0.29,-0.03,-0.02,-0.13,-0.06
-0.36,-0.13,-0.1,-0.02,-0.17,-0.07
-0.32,0.01,-0.18,-0.04,-0.21,-0.08
-0.31,0.13,-0.22,-0.06,-0.22,-0.11
-0.23,0.2,-0.17,-0.09,-0.2,-0.11
-0.25,0.14,0,-0.11,-0.18,-0.1
-0.32,0.05,0.09,-0.12,-0.14,-0.08
-0.38,-0.02,0.15,-0.13,-0.1,-0.05
-0.45,-0.11,0.22,-0.12,-0.09,-0.04
-0.37,-0.07,0.24,-0.1,-0.1,-0.04
-0.32,0.05,0.28,-0.07,-0.15,-0.05
-0.23,0.09,0.23,-0.03,-0.2,-0.06
