accelerometer-z,accelerometer-y,accelerometer-x,gyro-z,gyro-y,gyro-x
0.8089630978,-0.06548603313,-2.266364677,-0.07863919437,-0.5785083771,-0.4358021915
1.024420204,0.1074598194,-2.621167711,-0.1135975942,-1.051807761,-0.131568864
1.415975636,0.5161290292,-2.423901364,-0.05833380297,-1.469352245,0.1750349998
1.260183017,0.8294019285,-1.612231491,0.02030523308,-1.643171072,0.469848603
1.165174244,1.072250462,-0.574872237,0.1287592798,-1.853480935,0.7287709117
2.242669036,1.210252719,-0.005952825723,0.1663319468,-2.065773964,0.8478760123
3.361267992,1.30271736,0.397029662,0.238601625,-2.19554615,0.780788064
4.034213431,1.910412766,0.4396177077,0.4284457266,-2.126122952,0.4117893279
4.607405533,2.569196993,-0.055794441,0.7951585054,-1.998273969,-0.1461144239
4.320611037,3.15562267,-0.3046845192,1.273072481,-1.974135995,-0.6921643615
3.407602458,3.205901489,0.06894589126,1.725675941,-1.87937963,-1.039158344
1.549850438,2.415197102,0.9674094464,1.797395229,-1.575284004,-1.044011474
-0.7255500705,0.4165069177,1.576091818,0.969522059,-0.9269226193,-0.7563334107
-1.453449335,-1.315329442,1.025545701,0.1890923828,-1.053285003,-0.4102495313
0.239834592,0.6975248763,0.9232049785,0.3475661874,-2.077382326,-0.04068505019
0.2193564522,3.687200321,2.473942136,0.8117641807,-2.459155083,0.4773295224
-0.7558768197,4.034191219,3.00376476,1.108139873,-2.200845718,0.8639733791
-0.009127309307,2.710758842,2.232802891,1.201101422,-2.051080704,0.9040281177
1.062684176,2.079687675,1.9110157,1.23637712,-1.76987958,0.8101711273
1.251429802,2.54582167,2.561816819,1.37256062,-1.44464159,0.7532888055
2.160394073,3.278265299,3.875188113,1.631583452,-1.49805367,0.7341278791
3.239878578,3.6071103,4.933834705,1.989366412,-1.898603916,0.8043779731
3.721506495,3.918245165,5.698782135,2.390795946,-2.498941898,0.9941628575
4.069834195,4.169425034,5.540978176,2.722990751,-3.197477341,1.158921599
3.655934245,3.34063057,4.154563565,2.858397245,-3.613632202,1.120939136
2.623255915,3.209911894,3.123598177,2.915073633,-3.646796227,0.9521608353
1.451954712,4.257176383,3.086384591,3.056787968,-3.507880211,0.8321521282
0.2682300809,4.478620455,3.728180566,3.327122688,-3.289553404,0.7551282048
-0.5279407553,4.521513548,4.618268872,3.714226961,-3.040232182,0.757540226
-0.5913467673,4.845183484,4.776577273,4.109394073,-2.906919956,0.7786146402
-1.165084228,3.600316402,2.288936282,4.196531773,-2.642194033,0.7263227105
-2.434880292,1.637987571,-0.6825760212,3.982759714,-2.10614872,0.6537998319
-3.109841162,0.3240115163,-2.648637024,3.61269331,-1.509365201,0.5508484244
-2.793704252,-0.7262851799,-3.097760848,3.262440681,-1.009980202,0.3891238272
-1.882030721,-0.9179031458,-1.92849612,3.088168383,-0.8270750642,0.2494578063
-1.486315247,-0.206084152,0.4101385517,3.214218855,-1.036232591,0.2831130922
-1.945535517,1.114736727,2.869185317,3.663423538,-1.602598071,0.6152316332
-2.885833669,2.310291789,3.354201123,4.220702171,-2.516009092,1.161405444
-4.570384839,1.858978201,-0.313814605,4.459240437,-3.080281496,1.750846386
-6.642073624,0.7440865748,-6.201114402,4.308728218,-3.09778285,2.254232407
-7.815400195,-0.3776471353,-11.73518178,3.74630022,-2.648464918,2.608497143
-8.294109594,-1.841950347,-16.74551637,2.856466055,-1.774123788,2.867054701
-7.175012626,-2.604837046,-18.35249797,1.889911771,-0.8622479439,2.938720942
-4.088603193,-3.176695269,-17.35527791,1.070955276,-0.1990880221,2.788716793
0.1681242776,-4.323459412,-15.13914383,0.4335079491,-0.08574015647,2.553518772
4.647655125,-5.245729155,-12.78774554,-0.08099468052,-0.6356630325,2.290180922
7.160413022,-4.851770754,-9.960448231,-0.3877956271,-1.019260526,2.038965464
7.181818214,-3.642459261,-7.043015893,-0.447324872,-1.17732513,1.714933395
5.244414565,-2.602333246,-4.777921089,-0.3784589767,-1.063835144,1.467042565
2.207072238,-1.904018827,-3.883945712,-0.3756985068,-0.9498899579,1.420500994
-0.1257628072,-1.258659168,-3.651479603,-0.3427275121,-1.490248442,1.307985902
-1.075234446,-0.3348458122,-1.984260677,-0.3243564069,-0.4777422249,1.860720158
-8.501286364,1.112750084,-1.092483687,-0.2376401424,-0.2822898924,2.268158913
-5.526104432,2.595676126,1.596208869,0.05837576464,-0.1871729493,2.569248438
-0.8891746986,2.596815652,4.104959869,0.4148947597,-0.9970104098,2.376399279
10.07827849,1.510609438,6.141010354,0.8868173361,-1.69940567,1.661620975
10.38089366,0.816185158,6.216764391,1.324421406,-1.189860106,1.126936078
4.514549554,1.988165283,3.55543272,1.577800989,-0.6876212955,0.8008308411
-0.9199971224,2.624826525,1.945857004,1.857073665,-0.5513007641,0.8147919178
-1.653770831,2.140944984,2.567943193,2.186728954,-0.7303852439,0.9745499492
-1.666816775,2.361894697,1.044953874,2.406989098,-1.09487021,1.212986469
-2.724791751,2.251261947,-1.772374999,2.424196243,-1.130777717,1.522961855
-3.402231286,2.237905621,-3.516177983,2.312304735,-0.8004738688,1.630715966
-2.415063831,2.14514945,-4.837815878,2.069251537,-0.3578298986,1.614005804
0.1425935305,0.4462918882,-5.253293453,1.735885739,-0.2500957251,1.469662786
3.10478797,-0.6547236993,-3.70225059,1.45256865,-0.2705668509,1.202888966
3.674347853,-0.6444254465,-1.578244173,1.271440148,-0.3147934079,0.9485285878
3.102870739,-0.3999525271,0.7181430091,1.227011561,-0.22357741,0.7576575875
0.4980377845,0.4159154912,2.029720113,1.218231082,-0.121999383,0.6876356006
-0.4060375461,-0.1240722968,2.08951378,1.139173269,-0.08926352859,0.7390806079
-1.256526833,-1.006568833,1.447021347,0.9567255378,-0.1325654685,0.8008078933
-0.9197963391,-1.531015389,0.8953256224,0.8125736117,0.03067242913,0.8652496338
0.8235340594,-2.356100624,1.181173193,0.6835679412,0.07490939647,0.7712581754
2.527237381,-3.8146749,0.834564572,0.4755626023,-0.3403640389,0.5974270105
2.892968928,-5.517610744,-1.742791177,0.1670513749,-0.9411153793,0.6060639024
1.320457453,-5.231588402,-3.529308099,-0.09099104255,-1.597725987,0.6838461757
0.2172860756,-3.916341085,-2.657437586,-0.08278637379,-1.944171309,0.9395200014
-0.9491346618,-1.060243797,-0.7065881804,0.05947287381,-2.259585381,1.138257027
-0.4364914289,0.3924802185,1.662383761,0.3467451334,-2.2508533,1.273821831
0.5956643382,1.593769952,3.800704535,0.7092874646,-2.045760393,1.29187727
1.108043075,2.221865756,4.390286046,0.923193872,-1.582087278,1.240634322
1.237728316,1.872356884,4.429094792,1.142816782,-1.237904906,1.088635921
1.298863753,1.275187986,3.970812095,1.287973523,-1.330797195,1.026288152
-0.1153910508,-0.3151468765,-0.3395820835,1.101662755,-1.599461198,1.061105847
-0.9979375634,-1.906083651,-6.047222648,0.5852848887,-1.199125051,0.8504013419
-0.3263920548,-1.414080616,-7.293959908,0.2868610322,-0.2084854394,0.3297429681
0.8764601784,0.4801375322,-4.351965375,0.1422226131,0.7768420577,-0.2496096343
1.189190495,1.648436192,-2.104930545,-0.001279916381,1.173318267,-0.5472854376
0.3946604121,1.585506273,-1.404109842,-0.6045910716,1.035964966,-0.3961734176
-0.8213006013,-0.309660481,-4.576970647,-1.105520248,0.4763667285,-0.2105289549
0.604216478,-0.9988798857,0.01830839463,-1.182412863,0.1469411701,-0.2767207623
0.5647048441,-0.9226987825,2.09157422,-1.142266989,0.136422947,-0.4862884879
-2.416478958,-1.756952389,0.240101134,-1.483366013,0.5127339959,-0.2684909105
-11.026131,-3.478378706,-7.915788907,-2.334065676,1.214194179,0.5167819262
-14.87381649,-3.384302246,-7.891299193,-2.556267023,1.740091801,1.08208859
-10.20577674,-2.131132908,-0.5911579667,-2.298389435,2.366093874,1.245173812
-5.254108276,-2.370499882,3.14677184,-1.796856761,2.915404558,1.073179841
2.033566267,-1.464376679,8.309986962,-0.9564163685,2.265985012,0.5859241486
12.53103522,-0.4791711714,13.8326848,0.1066565588,0.6696011424,0.08516969532
17.44409718,1.478544905,15.61845996,1.127508759,-0.8100004196,-0.2301539332
14.38452958,3.433526004,11.24532204,1.882717609,-1.497881055,-0.3192853928
7.780861966,3.141409143,5.89313391,2.458884001,-1.699814081,-0.3556540608
4.116807543,3.686337858,4.705237546,3.044489622,-1.435413599,-0.4446510375
3.637506023,3.608124446,3.511290796,3.639862061,-1.47224164,-0.6704912186
3.641779463,2.622023158,4.070644342,4.258509636,-1.515589595,-0.7473638654
-0.7968576494,2.396259616,0.4075976351,4.368959427,-1.243452668,-0.5884190202
-5.915615206,1.451444278,-5.621982973,4.024302006,-0.7001444697,-0.4881510139
-6.363420933,-0.4543348363,-9.09759806,3.456023932,-0.01479473338,-0.4483460486
-6.218835352,-1.143115704,-9.928243413,2.825590372,0.02091346309,-0.5008683801
-2.70571208,-1.249929188,-7.764037087,2.510392189,-0.5106264353,-0.2794235647
-1.793936842,-1.011729942,-4.373301009,2.348010302,-1.029005408,-0.1018303782
-1.160094165,0.4641171024,-2.759194079,2.35289073,-1.734402537,0.1081926376
2.58560043,0.9961714305,-0.1301204179,2.66471076,-2.163403988,-0.2099837363
5.283282933,1.027560256,0.9692483523,3.004790783,-2.312771559,-0.6716163754
3.533375202,1.329526895,-1.286559567,3.025565386,-2.381005049,-0.9306287766
0.6917091757,0.0096878658,-3.159116942,2.768588066,-2.269011497,-0.9233130217
0.1600350791,-0.6583160247,-2.997299655,2.550168037,-2.08520484,-0.9896928072
1.365477183,1.851485945,-1.342234693,2.409063339,-1.863418221,-1.182819605
0.8753852427,1.246148646,0.07880991734,2.366828442,-1.491299868,-1.256844759
0.3832509832,0.8537915428,1.171003097,2.389118671,-1.351262689,-1.236557484
-1.034099887,0.985409798,3.274203457,2.691431522,-1.169011593,-1.164819121
-1.649983714,0.1758814676,3.692385614,2.896385431,-1.042123795,-1.023519754
-1.730045093,-0.6324906786,1.706849511,2.98371911,-0.965285778,-0.8075174093
-1.616231082,-1.464333717,1.986413471,2.914904356,-0.8847760558,-0.6643374562
