lsm6dso_lsm6dso_accelerometer.x,lsm6dso_lsm6dso_accelerometer.y,lsm6dso_lsm6dso_accelerometer.z,lsm6dso_lsm6dso_gyroscope.x,lsm6dso_lsm6dso_gyroscope.y,lsm6dso_lsm6dso_gyroscope.z
0,0,0,0,0,0
0.93320084,3.010171,9.2075815,-0.12415826,-0.21563527,0.069485866
1.0815558,3.158526,9.724431,-0.010537418,-0.021380268,0.025503604
0.71306115,3.0723844,9.480363,0.046883874,-0.055588696,0.0377209
0.90448695,3.0580273,9.580862,0.07742711,-0.054366965,0.030390523
0.7896315,3.0149565,9.01137,-0.2414443,-0.19486587,-0.0050396346
1.6797615,2.656033,9.489935,-0.33429575,-0.47708538,-0.022143848
1.7036897,2.4837499,9.365508,-0.05574141,0.06169734,-0.16752967
1.550549,2.6081767,9.485149,0.0016798781,0.020158539,-0.108886644
1.9812572,2.7900312,9.614362,-0.08994984,-0.31337363,-0.0025961753
1.8329022,2.4454648,9.399008,0.06276636,-0.3084867,-0.04535671
1.7754744,2.3545375,9.394221,-0.04963276,0.2791652,-0.19196425
1.3639089,2.5459633,9.686146,0.09575305,0.2950477,-0.060017463
1.2490535,2.9479575,9.74836,0.31810784,-0.11300998,-1.53E-04
1.0193424,2.9862428,9.499506,0.073761925,-0.12034036,0.03161225
1.5888343,2.900101,9.01137,0.1348484,-0.17043127,0.06459895
1.7994026,3.1345978,9.442079,0.22281294,0.12034036,0.013286309
1.4931214,3.3786657,9.236296,0.11530073,0.2290743,-0.038026333
1.2777673,3.3834512,9.020942,0.14095704,0.043371398,-0.009926553
1.2777673,3.5318062,9.375079,-0.006872229,-0.18142684,0.03527744
1.5984055,3.5413775,9.518648,0.07987057,-0.10567961,0.024281874
1.8185452,3.4648073,8.776874,0.012675445,-0.029932374,0.015729768
1.7898313,3.4839497,8.819944,0.021227552,0.023823727,0.0059559317
1.6845472,3.546163,9.107083,-0.0044287695,0.005497783,-0.0368046
1.6175481,3.5413775,9.288938,0.0151189035,0.026267186,0.007177661
1.0336994,3.4743786,8.724232,-0.074067354,-0.30115634,-0.050243627
2.2492533,2.6416762,9.52822,-0.30863944,-0.67500556,0.33215773
2.8474588,3.2207394,9.480363,0.6846267,-0.46975502,0.22220206
3.0149565,4.0295134,7.3028946,0.29000807,-0.46608981,0.13301581
4.197011,3.938586,9.111869,0.020005822,0.20586143,-0.16264275
2.9383862,3.6323047,9.006584,-0.006872229,0.09224058,-0.20051636
2.9383862,3.871587,8.973084,-0.2035707,0.1508836,-0.04535671
2.6273193,3.790231,8.953942,-0.044745844,0.1838703,-0.044134982
2.4119651,3.603591,8.738588,-0.020311253,0.1178969,0.002290743
2.2301106,3.8141594,8.776874,-0.08628465,0.13622284,-0.10155627
2.2205393,3.5126636,8.839087,0.04444041,0.043371398,-0.030695954
1.9812572,3.7328033,8.953942,0.039553493,0.08735366,-0.04291325
2.009971,3.6801612,8.930014,0.07864884,-0.049480047,0.030390523
2.07697,3.5509489,7.743174,-0.32085672,-0.27550003,0.03405571
2.2301106,3.723232,9.001799,-0.022754714,0.20219624,-0.052687086
2.0673988,3.37388,8.499306,0.04444041,-0.03848448,0.015729768
1.8520447,3.737589,9.236296,0.07131846,0.13744457,-0.050243627
1.8281165,3.6370904,8.886943,0.017562363,0.03970621,-0.0025961753
1.8664017,3.6466618,9.025727,-0.021532983,0.07391464,-0.0074830935
1.5744773,3.4360933,8.973084,0.114079,0.3084867,-0.0820086
1.4596218,3.5174494,9.341579,-0.1913534,0.2913825,-0.06368265
0.9762716,3.5653057,9.049655,-0.18402301,0.031154104,0.021838415
1.2921243,3.249453,9.461221,-0.35628688,0.13500112,0.0707076
1.134198,3.2063823,9.064013,-0.052076224,0.7202096,0.13057235
0.29192436,2.9623144,9.705289,-0.1339321,0.7519745,0.20387612
-0.94755775,3.5509489,8.140383,-0.050854493,0.07880156,-0.028252495
-0.43070808,2.9431717,9.982856,0.26557347,-0.39400777,-0.01970039
0.13878371,3.1728828,8.949157,0.10430516,0.009162972,0.10002911
0.0526421,3.0723844,9.801002,-0.13148865,0.1508836,-0.10399973
0.29671,3.345166,9.126225,0.037110034,-0.06291907,0.032833982
0.09571291,3.2925239,9.427721,-0.0019853106,0.0042760535,0.020616686
0.2009971,3.2925239,9.193225,-0.054519683,0.10445788,0.063377224
-0.20578274,3.4456646,8.489735,-0.10583232,0.031154104,0.054825112
-0.43070808,3.2925239,9.260223,0.10063997,-0.12034036,-0.090560704
-0.10049855,3.2685957,9.470792,-0.09728022,-0.054366965,0.0059559317
0.09092726,3.1250265,9.743574,0.09575305,-0.29016078,0.03527744
0.23449662,3.426522,9.164511,-0.09850194,6.11E-04,-0.20173809
0.5982057,3.010171,9.571291,0.0151189035,-0.0971275,0.10491603
0.23928227,3.0005996,9.700503,-0.12171481,0.15210533,-0.09544762
0.64606214,2.9575288,9.38465,0.111635536,-0.043371398,0.04382955
0.1052842,3.3930225,9.552148,0.027336199,-0.045814857,-0.008704823
0.30149564,3.1250265,9.327223,-0.080176,0.04214967,-0.03924806
0.4642076,3.1441689,9.375079,-0.03619374,-0.03604102,0.032833982
0.21535404,3.0723844,9.403793,-0.100945406,0.027488915,-0.053908817
0.55513483,3.2590244,9.226724,-7.64E-04,-0.0018325944,0.03527744
0.124426775,3.1345978,9.202796,0.043218683,0.25595233,0.026725333
0.7752745,3.0005996,9.930214,0.06398808,0.031154104,-0.028252495
-0.16749759,3.3834512,9.561719,-0.10583232,-0.053145237,0.030390523
0.26799613,3.034099,9.518648,0.043218683,-0.034819294,-0.0074830935
0.22971097,3.1920254,9.533006,-0.03619374,-0.037262753,0.045051277
0.062213387,3.1537402,9.140582,0.018784093,0.07880156,0.06704241
0.3397808,2.9718857,9.456435,0.1470657,0.060475614,-0.12965605
0.24885355,3.2590244,9.619147,-0.028863361,-0.056810424,0.053603385
0.21535404,3.158526,9.370294,-0.014202606,-0.048258316,0.052381653
0.1052842,3.1154552,9.509077,-0.009315688,0.056810424,-0.0490219
-0.16749759,3.2542388,9.255438,-0.12415826,-0.053145237,-0.14553854
0.79441714,2.7708886,10.241281,0.21181737,-0.2877173,0.101250835
0.4019942,3.2638102,8.843872,0.17883067,-0.10690133,-0.006261364
1.0001999,3.3930225,9.705289,0.14095704,-0.028710645,-0.009926553
0.71306115,3.5174494,9.241081,0.06398808,-0.07147118,0.047494736
0.971486,3.5653057,9.293723,0.05054906,0.0140498895,-0.038026333
0.85184485,3.7328033,9.135797,4.58E-04,-0.20708317,0.03894263
1.3878372,3.900301,9.202796,0.34620762,-0.2376264,0.024281874
1.3639089,3.818945,8.891729,-0.40515608,0.08124501,0.013286309
0.89013004,3.9290147,10.188639,0.020005822,0.15332706,-0.0013744457
1.4596218,3.5700915,7.6426754,-0.21700971,-0.08857539,-0.030695954
1.3112668,3.871587,9.623933,-0.028863361,0.1960876,-0.07589995
1.3782659,3.6131623,9.0544405,0.085979216,-0.064140804,0.029168794
1.2059826,3.5988052,8.930014,0.16050471,0.06291907,0.0108428495
1.3734802,3.8237305,9.427721,0.066431545,0.017715078,0.0035124724
1.1533405,3.7806597,8.992228,0.021227552,-0.010384701,0.023060145
1.1964114,3.7950168,9.035298,0.010231985,0.022601997,-0.020922119
