Accelerometer.z,Accelerometer.y,Accelerometer.x,Gyro.z,Gyro.y,Gyro.x
0.1872480802,0.4869558339,0.06280266666,0.6379995942,0.8567442298,-0.57781744
0.1787900485,0.6080208387,0.1499871478,0.7664193511,0.9948608279,-0.6503483653
0.288019654,0.7347329094,0.1419096947,0.8946020007,1.105782866,-0.7200503349
0.4239660015,0.712697311,0.20777848,1.005851507,1.177114248,-0.7912920117
0.5770359178,0.6866279269,0.1963324637,1.062550783,1.24060905,-0.9590649605
0.7766729395,0.5825038279,0.1706679707,1.15077436,1.31791079,-1.084017754
0.7092986084,0.6148457163,0.1755747762,1.277843952,1.524574995,-1.226753592
0.3439508001,0.7093801492,0.02941226471,1.421827555,1.822972059,-1.375946522
0.1115390515,0.7163380056,-0.2213112395,1.552410722,2.128395081,-1.548195958
0.1597983478,0.659198945,-0.5971116875,1.663606763,2.437014341,-1.714960933
0.07560206121,0.4120627978,-0.9474497044,1.729056835,2.755360365,-1.877143264
-0.07967091809,0.02588642867,-1.317732412,1.724301219,3.020852566,-2.060361147
-0.02751169178,-0.3681844931,-1.574715853,1.660294294,3.209938049,-2.235497236
0.157467859,-0.6643231562,-1.605519865,1.574253678,3.374895096,-2.359173059
0.1737128914,-0.7393433258,-1.487435775,1.401826739,3.52340126,-2.315381289
0.01349018069,-1.359017193,-1.368118345,1.009170532,3.541088581,-2.123059273
0.1885468879,-2.534683605,-1.43943513,0.4196328521,3.411998272,-1.848996639
0.3574970949,-3.360171429,-1.484321735,-0.1083566472,3.046703339,-1.556923509
0.974314988,-3.023456426,-1.384180568,-0.4090431929,2.390621662,-1.218528032
1.764212151,-1.870794895,-1.533035205,-0.544254303,1.771371484,-0.8630322814
1.399986624,-1.130955456,-1.647243475,-0.5769938827,1.275649071,-0.5009047389
0.7652835305,-0.8470214641,-1.341818513,-0.6099489331,0.8583391905,-0.128177464
0.4999228675,-0.7229789049,-1.032368533,-0.8133602142,0.2948510051,0.1985178292
