accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
-1.4227544,5.4857144,9.088389,-0.38801113,-0.9854737,-0.19600287
-0.9151836,5.059547,9.212888,0.007190323,-0.8832113,-0.22156847
-1.4083891,4.9823337,8.690952,0.123300724,-0.8491239,-0.22689463
-1.441908,5.251083,7.9912467,0.20212796,-0.80651456,-0.055392116
-1.513734,5.0930657,8.106169,0.11477886,-0.7106436,0.09587097
-1.1258733,5.2702365,8.182783,0.023168819,-0.60092455,0.14806738
-0.7140707,5.3420625,7.8428063,-0.06737599,-0.40918264,0.17576344
-0.5602432,5.5096564,7.9050555,-0.11531147,-0.32502922,0.12463226
-0.20590134,5.849633,8.000824,-0.111050546,-0.26537618,0.06817491
-0.31603462,5.921459,7.5171947,-0.12915951,-0.013981183,-0.2226337
-0.3878607,5.849633,7.2005615,-0.18242116,-0.04061201,-0.31850466
-0.29209262,5.801749,7.593809,-0.29320538,-0.1663095,-0.48574626
-0.57999533,5.385158,7.675212,-0.38588065,-0.1854837,-0.562443
-0.83378077,5.131373,7.972093,-0.47109932,-0.18335323,-0.5517907
-1.4036007,4.51307,8.2593975,-0.61597097,-0.19080986,-0.40798426
-1.7633295,3.7942111,8.417415,-0.6319495,-0.054460037,-0.025565593
-1.3461399,4.000711,8.6334915,-0.5264914,-0.092808425,0.18002439
-1.5664065,4.1252093,8.791509,-0.3997287,-0.0629819,0.31424373
-0.99179804,4.39336,8.944737,-0.1259638,0.12982528,0.470833
-0.49320555,4.584896,8.820239,0.043408245,0.15752134,0.40159285
-0.40701428,4.9440265,8.359954,0.10519176,0.045671865,0.3877448
-0.8098387,4.819528,8.700529,0.09240896,-0.19720127,0.25246024
-0.33518824,4.8817773,8.374319,0.06364767,-0.14713532,0.18854624
-0.51714754,4.584896,8.710106,0.10732222,-0.059786204,0.16937205
0.023942016,4.9057193,8.815451,0.11158316,0.17456506,0.17150252
-0.23942018,5.0691237,8.911219,0.20212796,0.27682742,0.12676273
0.5267244,5.6341553,7.948151,0.20212796,0.22143531,-0.023435127
0.46447513,5.8400564,7.8236527,0.12010502,0.20439158,-0.29187384
-0.095768064,5.1744685,7.8906903,0.04873441,0.21291345,-0.3483312
-0.7236475,4.972757,8.278551,0.07643047,-0.06724283,-0.044739787
-0.49799395,4.9440265,8.743625,0.16377957,-0.050199106,0.03515269
-0.87208796,5.011064,8.388684,0.12969212,0.016910573,-0.05965305
-0.66139823,4.948815,8.738836,0.23941112,0.09999875,-0.051131185
-0.74758947,5.121796,8.316858,0.3065208,0.38122028,0.057522584
-1.1450269,5.2223525,7.7087307,0.2415416,0.19373925,0.07776201
-1.0348936,5.3276973,8.115746,0.27136812,0.10532492,-0.049000718
-0.5554548,5.1026425,7.9529395,0.28308567,-0.02356828,-0.07456631
-0.37349546,4.8817773,8.432379,0.184019,0.10852061,-0.44420218
-2.12246,5.777807,8.369531,0.42689213,0.36204606,0.05965305
-0.35913026,5.8639984,6.779182,0.15525772,0.4856131,0.27163443
-1.6190789,5.9358244,6.506243,-0.21970432,0.31411058,-0.10758854
-1.3988123,5.6245785,7.08564,-0.41677243,-0.18654893,-0.109719
-1.417966,5.0493712,7.9768815,-0.57549214,-0.52209735,-0.13634983
-1.1210849,5.251083,8.7292595,-0.49879536,-0.64459914,-0.16085018
-0.95827925,4.757279,8.532935,-0.35711938,-0.23022349,-0.012782796
-0.9151836,5.073912,8.738836,-0.24420467,-0.17163567,-0.03515269
-0.99658644,4.747702,7.852383,-0.21544337,-0.08109087,-0.030891757
-0.12449849,4.733337,7.9194207,-0.22396524,-0.08322133,0.10119714
-0.08619126,4.187459,8.2354555,-0.31877097,-0.11837402,-0.047935486
-0.33039984,4.642357,9.030929,-0.24100897,-0.01611165,-0.27696058
-1.7298107,4.297592,8.796297,-0.05033226,0.42596006,-0.22582941
-1.7968484,4.9105077,8.302493,0.0774957,0.18734786,-0.051131185
-1.1737574,4.9057193,8.19236,-0.19626918,-0.09067796,-0.009587097
-1.0061632,4.5322237,8.767567,-0.31024912,-0.18441847,-0.06284875
-1.0636241,4.3885717,9.002198,-0.15685557,-0.1758966,-0.039413624
-0.88645315,4.3263226,8.652645,-0.054593194,-0.16524427,-0.029826526
-1.0636241,4.4939165,8.432379,-0.06418029,-0.045938175,-0.08628388
-1.1498153,4.757279,8.781932,-0.09081112,0.020106273,-0.07456631
-1.1258733,4.522647,8.78672,-0.07802832,-0.08109087,0.029826526
-0.9247604,4.378995,8.647857,-0.10465915,-0.10559122,0.029826526
-0.6997054,4.3119574,8.963891,-0.145138,-0.059786204,0.038348388
-0.83378077,4.2401314,8.858546,-0.008788172,0.055258963,0.049000718
-0.670975,4.3023806,8.714894,0.005059857,-0.015046417,-0.0117175635
-0.7763199,4.259285,8.796297,-0.026897134,-0.0011983871,-0.034087457
-0.65660983,4.2066126,8.8777,0.050864875,0.026497671,-0.01065233
-0.9151836,4.201824,8.734048,0.07003907,0.06804176,0.050065953
-0.7044938,4.283227,8.585608,0.0902785,0.006258244,-0.053261653
-1.0875661,4.201824,8.288128,-0.03967993,0.004127778,-0.056457352
-0.919972,4.1156325,8.523358,-0.16750789,-0.061916668,-0.015978495
-0.8194155,4.220978,8.781932,-0.11211578,-0.116243556,-0.083088174
-0.9103952,4.2640734,8.714894,-0.055658426,-0.019307349,-0.07882725
-0.9391256,4.2401314,8.494628,-0.0034620073,-0.0022636203,0
-0.86729956,4.4460325,8.437167,-0.122768104,0.013714875,0.004260932
-0.98222125,4.1826706,9.102755,-0.10039821,-0.043807708,0.076696776
-0.97743285,4.1683054,8.935161,0.014646954,-0.02356828,0.07456631
-0.83856916,4.259285,8.585608,0.005059857,0.06378083,0.13421936
-0.8146271,4.24492,8.326435,-0.03967993,0.07230269,0.061783515
-0.99179804,4.4603977,8.297705,-0.031158065,0.035019536,0.07882725
-1.0684125,4.805163,8.273763,0.15632294,-0.057655737,0.083088174
-1.1258733,4.6710877,7.9768815,-0.25059608,-0.46777046,-0.057522584
-1.1067197,3.976769,8.623915,-0.45405558,-0.38148656,-0.08841434
-0.98700964,3.650559,9.313444,-0.4636427,-0.39320415,-0.023435127
-0.5943606,3.851672,9.960478,-0.15579033,-0.061916668,0.13315412
-0.65182143,4.120421,9.466674,0.15419248,0.36843747,0.16830681
-0.75716627,4.2880154,8.465898,0.2255631,0.5069178,0.2034595
-0.50757074,4.5274353,7.98167,-0.013049104,0.36204606,0.02130466
-1.8447324,4.1395745,8.652645,-0.22716095,0.18734786,0.060718283
-2.2182279,3.128623,9.356541,-0.11211578,0.4920045,0.3707011
-1.2695254,4.369418,8.245032,-0.0290276,0.45259088,0.50705093
