 accelerometer x,accelerometer y,accelerometer z,gyro x,gyro y,gyro z
-0.06330871582,-0.2728881836,-0.9985809326,0.2940963507,-0.3728848994,-1.059342384
-0.1069641113,-0.1966247559,-1.111038208,-1.585582495,-0.8104667664,-1.160317659
0.06408691406,-0.313873291,-0.9785003662,-0.1351096183,0.549592793,-0.5584856272
0.04463195801,-0.1965637207,-0.8762207031,-0.4395837486,1.181395531,-1.13355267
0.188583374,-0.1163330078,-0.843170166,-0.9094468951,2.506299496,-0.6626783609
0.2318725586,-0.05012512207,-0.8582458496,-0.3495473564,-1.544416428,0.1114455685
0.2384796143,-0.2465362549,-0.9842376709,2.303073406,-2.785737276,-1.249016643
0.02526855469,-0.3173065186,-0.9337310791,-0.4046204388,-0.6848483682,0.2857079208
-0.04704284668,-0.04296875,-0.7543792725,0.09718088061,-2.743133307,-0.8313699365
-0.1330413818,-0.1893463135,-0.2123565674,0.1826241463,-4.178713799,-1.066343307
-0.3385925293,0.3502502441,-0.0186920166,0.2112403363,-6.492074013,2.261178493
-1.558853149,1.487136841,0.2411346436,-5.116127491,-0.6812118292,5.247770786
-1.469604492,1.839828491,0.6511535645,-1.428610921,-4.788709641,3.468679667
-0.655960083,0.7879180908,0.498626709,-1.370438933,1.666838646,1.348275304
-0.6659545898,0.7042694092,0.2270355225,-1.985301375,-0.5166383386,1.736921906
-0.6051940918,0.5788269043,0.1032562256,0.2748896182,-0.5095021129,0.819162786
-0.8820800781,0.4817352295,0.2875976563,1.013918638,1.142716289,1.388144732
-1.355636597,1.024383545,0.5863037109,1.721458316,0.5422118902,-1.972904325
-1.134902954,1.246841431,0.7046966553,0.8548675179,-0.3035606742,-5.520214558
-0.8095550537,1.404327393,0.5266723633,0.7013839483,-1.333667397,-6.08767128
-0.3514251709,0.8245697021,0.3254089355,-0.3318013847,1.732799888,-3.897412539
-0.1528930664,0.4452972412,0.154296875,-0.2418019772,1.204201221,-0.4459724128
-0.134475708,0.5948638916,0.1709136963,0.7584831715,-0.8961718082,3.253530979
-0.7186584473,1.406204224,0.5069885254,2.154306173,-2.980979204,7.881616592
-1.302459717,1.482940674,0.8410644531,0.8410664797,0.01886210404,5.182487011
-0.8694610596,0.7527313232,0.3228912354,-1.376823425,2.019310474,1.164559841
-0.5876159668,0.5555114746,0.1955871582,-1.186781764,1.807324409,1.057960391
-0.7718353271,0.7537231445,0.1279296875,-0.2158401459,1.159980536,1.257108927
-1.131469727,0.8458251953,0.3419647217,2.060949802,-0.8421245813,-2.050255775
-0.8645782471,1.336257935,0.4899139404,0.3318298757,-1.277305365,-5.347077847
-0.6797180176,1.251205444,0.4261932373,0.01163934544,-1.32717514,-5.482271671
-0.4499359131,0.7353973389,0.3591766357,-0.9773697257,1.221466064,-2.657029867
-0.1898651123,0.6707611084,0.1972045898,-0.8923096657,0.9422255754,-0.2921485007
-0.4054412842,0.9055938721,0.2078857422,0.2755831182,-1.725962162,4.242461681
-1.035140991,1.158279419,0.7236480713,2.623755693,-1.089806557,3.595381498
-0.8957366943,0.7657165527,0.4936218262,-1.219621539,0.9695349932,3.538054466
-0.7077636719,0.7030639648,0.2161560059,-0.6046837568,1.670783877,1.97454083
-0.7959747314,0.5728607178,0.3906555176,1.445889831,-0.6358270645,0.7694956064
-0.9365844727,0.4367370605,0.554473877,0.2051771134,0.212781772,-0.6466913819
-1.152297974,1.100463867,0.6010284424,-1.239975214,0.1829522401,-3.445762873
-0.8057250977,1.51739502,0.3742218018,-1.418852091,0.6496914625,-5.359391212
-0.4184570313,0.8979644775,0.3053894043,-0.2111364752,1.113752365,-4.158813477
-0.2050933838,0.5152282715,0.1793212891,-0.1818028241,0.3799302876,-1.113667965
-0.2466583252,0.6134033203,0.2161712646,0.6213644743,-0.8841119409,1.590784669
-0.5639953613,1.01008606,0.4486694336,0.9460898638,-1.804965138,4.777725697
-1.372772217,1.148605347,0.6991424561,0.5975379944,-0.03892849013,4.769433975
-0.9648742676,0.4813995361,0.4506835938,-0.9866247177,1.523358703,1.87536788
-0.6369628906,0.5608520508,0.2428588867,-0.3232033551,1.192339063,1.009174824
-0.7306060791,0.5027770996,0.3555908203,0.8773648143,0.05420544744,1.283878565
-0.9672851563,0.5854034424,0.4425048828,0.8468359709,-0.2703766227,-0.3054267466
-0.9638214111,0.8674621582,0.4191741943,0.009377788752,-0.6303401589,-2.417201996
-0.8696594238,1.32901001,0.2600860596,-0.534583807,-2.137060642,-4.326014042
-0.7422485352,1.174880981,0.4086151123,-1.463566542,1.874326944,-4.275714397
-0.2262573242,0.6053924561,0.1293640137,-0.5203606486,1.545019865,-1.788224459
-0.1409606934,0.5023651123,0.09895324707,0.5604936481,-0.1969042718,0.5436521173
-0.5397796631,1.102478027,0.4976348877,0.7960081697,-1.123209476,4.117347717
-1.178649902,1.325683594,0.7405090332,-0.1168579087,-0.2031179667,5.090775967
-0.8672485352,0.7267150879,0.4497680664,-1.757013559,0.4787932038,2.275895119
-0.7440490723,0.7528381348,0.2384033203,-1.429414988,-0.237331599,1.353748918
-0.7687225342,0.5042724609,0.2444152832,-0.3297843039,0.5289376378,1.211278677
-0.9968719482,0.6389923096,0.3781738281,0.94454813,0.2640289962,-0.6073765159
-0.9693145752,0.8759460449,0.5241699219,0.9909574389,0.2437503487,-3.162682533
-0.9108276367,1.373443604,0.5213623047,0.2376210839,0.07614003867,-5.244321346
-0.5142059326,0.8314361572,0.4218444824,-0.008769256994,1.299407125,-4.074497223
-0.3169250488,0.4933929443,0.2468719482,0.4127462804,0.1677991152,-1.241410732
-0.4013519287,0.6334991455,0.3013305664,0.4704535306,-0.6462115049,1.020504355
-0.578994751,0.8398895264,0.4034118652,0.4859485924,-1.163027763,4.849114418
-1.12210083,1.014694214,0.6613311768,0.7573691607,-0.8942607045,3.337172508
-0.811920166,0.5620727539,0.4725799561,-1.561609149,0.9795724154,1.545710921
-0.6343078613,0.5829315186,0.2492980957,0.01499412954,-0.1610341519,1.553138733
-0.8908691406,0.5905609131,0.409866333,0.9428064227,-1.243251443,1.081946254
-1.338104248,1.288818359,0.6102600098,0.1957175732,-0.2498391271,-1.208925724
-0.943572998,1.096191406,0.3874206543,-0.2076511979,-0.02434262447,-3.947483301
-0.630065918,1.024520874,0.2546691895,-0.1960475296,0.1224425584,-4.03828764
