accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-3.3894334,4.213761,7.8293157,-0.4888449,0.01038471,-0.15836681
-2.9587252,4.6695933,8.670991,-0.43982297,0.0018325958,-0.1151481
-3.0065815,4.5882373,8.628518,-0.38560867,-0.03191771,-0.118202426
-3.0287154,4.362116,8.115258,-0.22464569,-0.12034045,-0.010079277
-2.784049,4.5744786,7.838289,-0.22831088,-0.13500121,0.0022907446
-2.4502504,4.6642094,7.7814593,-0.3031419,-0.10842858,-0.05955936
-2.4502504,4.712066,7.7904325,-0.41248676,-0.029474247,-0.16615535
-2.5028925,4.6839504,7.8143606,-0.48456886,-0.056199603,-0.2669481
-3.141776,4.4518466,7.9764743,-0.5169447,-0.14248432,-0.35705075
-3.2739797,4.293322,8.677571,-0.48640144,-0.32467487,-0.4373795
-3.426522,4.433302,8.885747,-0.22174409,-0.84131414,-0.6044512
-3.7184465,4.936991,7.4997044,-0.2875648,-1.2924381,-0.8019133
-1.2466606,3.1082766,6.6275206,-1.2738068,-1.6548339,-1.0801625
-2.6153553,2.669792,10.239487,-1.6691893,0.007941248,-0.68707067
-0.5054838,0.62153566,7.218548,-1.2310462,-0.4173737,-0.22892176
-1.6845472,1.3878372,7.576873,-1.2742649,-2.5358543,0.13652839
-2.3455644,1.0163515,9.398409,-1.0861185,-1.86207,0.5314528
-0.5138587,1.2807583,9.554541,-0.75151694,-1.2861768,0.871552
-0.10109676,1.0612168,8.622537,-0.5154176,-1.2260065,1.056186
2.1517458,-0.2943172,6.9415784,-0.32345316,-1.6100881,1.184315
2.082952,-1.2143575,7.8867435,-0.23044892,-2.5680776,1.5039502
3.4809587,-3.874578,7.20778,0.24877487,-4.60852,1.7895297
2.6572297,-3.0119655,6.9326053,1.2116512,-5.2548156,2.460718
-5.5220366,0.46899325,2.3395824,2.0517437,-4.796056,3.6760342
5.5669017,-3.591627,-3.784249,0.9114109,-5.948453,1.2799155
3.0472596,-7.6851482,0.49830532,1.0430524,-7.951022,2.2249238
4.6115675,-7.1186476,-0.068793654,2.5082128,-8.589834,3.1600058
4.7365923,-8.555537,-4.557729,3.513086,-9.404423,4.0692787
7.1419773,-9.910473,-5.094918,3.670842,-9.485821,5.0437617
15.161523,-9.086744,-3.3672996,3.2233832,-7.7494364,5.5353556
21.884157,-8.912068,-0.29970104,2.8087585,-5.0436087,5.3916492
27.236902,-4.8287163,0.22552353,2.1108449,-0.88514376,4.856837
25.434507,-2.9383862,0.3074777,1.6027577,1.4468343,4.653266
26.679972,-2.5184457,-0.2213361,1.4425583,1.9694295,4.204433
28.538,-1.5972091,-1.294517,0.7996226,2.7101038,2.9681942
21.247068,-0.93679005,-1.2287145,0.52442783,2.441781,1.5694655
13.225131,-4.578068,0.9242278,0.4427246,1.9857702,1.3840679
10.655239,-4.586443,2.332404,0.7984009,1.4840971,1.6145169
9.55813,-5.0219364,2.6141586,1.159575,0.49754974,1.6859881
10.718649,-3.7088752,1.5164514,1.4422529,-0.17959438,1.5057828
10.425529,-3.8344984,0.9876375,1.3202325,-0.37614027,1.1293371
9.6275215,-4.9860444,2.0895324,0.97494096,0.31337386,0.7368562
0.76989067,-7.018747,-3.5353954,0.91553426,-0.2941316,0.79183406
5.5800624,-6.3050876,-0.119042926,1.1097895,-1.2008084,0.72204274
7.795218,-5.1882377,-0.011365907,1.2782356,-0.86162543,0.26068676
9.780065,-4.417749,3.4013975,0.72219545,0.12003502,-0.44409904
11.075778,-2.2845473,2.3940191,0.6969972,0.17867808,-1.3747523
7.368099,-3.2572298,2.0955145,-0.16966783,0.30207285,-2.037541
9.35833,-3.8638103,5.58425,-0.31795537,0.04627304,-2.5471554
