lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
-5.5226345,-5.3240304,6.202196,-0.23816091,0.50449795,-0.529238
-4.9196434,-5.3718867,5.6303115,-0.16058108,0.63827735,-0.33376125
-4.438686,-5.3742795,6.314659,-0.14714205,0.7415135,-0.37163487
-4.776074,-5.5226345,5.4819565,-0.098272875,0.6101776,-0.4559342
-5.7188463,-5.5968122,5.032106,-0.22838707,0.36277732,-0.4504364
-6.7166533,-5.8073807,6.5491557,-0.44402233,-0.066049755,-0.26290092
-6.343373,-5.383851,7.9034934,-0.3108538,-0.8094722,0.07246383
-5.020142,-5.704489,6.2548385,-0.1117119,-0.78381586,0.099341884
-5.4676,-5.948557,5.0847483,-0.13675736,-0.56756973,-0.028328855
-5.74756,-5.9557357,4.8789654,-0.21189372,0.16058108,-0.063759014
-5.1756754,-6.084948,5.7954164,-0.21616977,0.33467755,0.065744326
-6.068198,-6.0801625,5.0847483,-0.20456335,0.71830064,0.17081307
-6.2380886,-7.3052874,4.8765726,-0.65232724,1.7854813,0.44631308
-7.8221374,-7.5900335,6.056234,-0.68287045,2.1923172,0.4579195
-10.34178,-7.5900335,3.7328033,-0.5209913,2.9791112,1.0547343
-6.573084,-7.058827,5.615955,-0.43913543,3.083569,1.043128
-8.556734,-4.790431,4.642076,-0.48739374,3.34563,0.37362018
-10.820344,-5.328816,6.053841,0.36048657,4.267425,0.7877865
-1.6845472,-4.4554358,1.0767702,0.439899,3.2320092,0.60269445
0.18903299,-1.1700903,4.5152564,0.15279256,1.9815689,-0.16882776
-4.505685,-2.5531418,3.7686956,0.3116174,0.49472412,-0.045433067
-4.1874394,-3.1250265,4.5894337,0.31344998,0.27236933,0.33085963
-5.5393844,-3.0675986,5.7786665,1.0342704,-0.3165043,0.22884522
-7.5637126,-3.1657043,7.216753,1.6139811,-0.036728244,0.15370885
-8.006385,-2.6943183,4.2041893,2.1093924,0.39576402,0.2618319
-6.3218374,-3.4887354,0.17706887,1.492419,0.63461214,-0.24518585
-5.6470613,-5.4149575,-1.2562319,1.1106285,1.1831688,-0.62514377
-5.828916,-6.5443697,-1.5050855,1.2590687,1.1220822,-1.4608067
-7.800602,-6.195018,-2.3665016,1.7379867,0.7427352,-2.0857215
-10.028319,-6.9894347,-4.063013,1.6677372,0.12698352,-2.1773512
-11.672189,-7.7790666,-4.8861437,1.7123303,-1.0690898,-1.866421
-12.591033,-9.372686,-3.266203,1.0159445,-0.8406263,-1.3600141
-11.2343025,-8.831908,7.092326,0.86445004,3.1739771,-0.6923389
-4.8239303,-5.300102,5.6709895,2.0379212,3.5881433,-1.1394919
-4.599005,-7.240681,1.9262222,2.106338,1.9754603,-1.7167591
-6.142376,-9.276974,0.35174492,1.8363359,1.2888483,-2.0368524
-6.2955165,-9.030513,-0.65324056,1.5785509,1.746386,-2.2793655
-6.6759753,-7.618747,0.53359944,1.036103,2.0469315,-2.2860851
-6.020342,-6.431907,1.0815558,0.81313735,1.7274492,-2.3129632
-6.7740808,-6.3074803,0.60059845,0.5150354,1.5832851,-2.350226
-4.082155,-5.1206403,-0.57427746,0.40996662,1.5515202,-3.1748934
-2.8713872,-5.680561,-1.1078769,-0.41103563,2.2729516,-4.374021
-2.7278178,-6.2548385,-0.9954142,-0.9553162,2.4012332,-5.6452303
-3.0867412,-7.1066833,-0.526421,-1.3120612,1.746386,-6.9280467
-2.7972097,-6.853044,-1.3280165,-2.0774748,1.6871321,-7.626265
-2.9503503,-6.855437,-0.23449662,-2.2546256,1.159345,-7.964684
1.0049855,-10.889736,0.1794617,-2.0383794,0.3664425,-8.041653
3.5437703,-21.602404,2.3784657,-1.0170135,-0.66469723,-8.656183
-4.6803613,-20.965912,2.3952155,0.7276163,-1.515021,-3.6012769
5.907879,-20.94677,-1.5936198,2.0941207,-1.3329833,3.46032
14.44547,-12.535997,-9.944571,-1.6590323,-1.5412881,2.2282057
4.4578285,-8.894122,2.5866413,-4.458015,0.57413656,0.7254783
4.4745784,-11.770294,12.071791,-2.5539494,8.647936,1.5843542
6.1447687,-16.610975,14.342579,-0.8716277,9.041333,2.1988842
5.9844494,-14.167903,12.8686,2.2266784,2.0817509,2.0296745
7.8293157,-12.387643,1.7778672,4.7739844,-0.23953535,1.571526
7.9369926,-11.686545,-4.587041,4.4893217,-0.40202537,1.2557089
10.140782,-10.786844,-6.6711893,3.4740644,1.2192098,0.9533309
9.786645,-7.9298143,-8.111669,1.5315144,1.8514547,1.0388519
9.056833,-6.6735826,-4.6899323,-1.2173772,0.7598394,0.77984524
4.2017965,-6.503692,3.979264,-1.3090068,-0.15401429,0.4163807
1.3208381,-7.4392858,3.7615173,1.0208313,1.3682607,0.9386701
2.8235307,-7.2502527,-0.7513463,1.4264456,0.87712544,0.8048907
1.0432707,-5.8863435,-2.589034,1.0104467,-0.6408735,0.6595049
1.9262222,-4.6779685,-2.0841484,0.8394046,-0.5596285,0.8134428
3.5509489,-2.8235307,-2.4909284,0.50831586,-1.0513747,0.6350703
5.1086764,-2.0578275,-2.268396,0.088651754,-1.3794091,0.36201373
5.316852,-2.009971,-1.9214365,-0.44463322,-0.9713514,0.25266895
5.905486,-2.5172493,-1.1892328,-1.4177408,-0.60299987,0.09995275
5.2570314,-2.9671001,-0.15314065,-2.2326343,-0.46189013,-0.2079231
5.2570314,-5.852844,3.3164523,-2.5893795,-0.18394665,-0.46082112
5.7284174,-13.445271,11.88515,-1.8080834,-0.6066651,-0.65629786
-0.49292147,-26.191837,18.865013,1.2951097,-1.569388,-0.5408444
-3.6993039,-22.43989,4.9172506,0.39530587,-1.9004767,0.009544762
2.5603201,-12.380465,2.9503503,-0.110490166,-1.1888192,0.73464125
