accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-1.7312071,4.3268213,9.325428,-0.25442538,-0.52748215,-0.5552765
-1.6175481,4.302893,9.358928,-0.21731532,-0.5881105,-0.5925393
-1.8131614,3.0514472,7.6181493,-0.32788193,-0.93844175,-0.7495316
-1.835295,3.187838,8.298309,-0.35506544,-1.4590516,-0.4353942
-0.40797627,2.7655048,10.22154,0.06780604,-1.6300939,-0.41813725
-0.35712877,2.7475586,10.43151,0.28924468,-1.0241156,-0.5224425
-1.1228321,3.5186458,9.904491,0.28130344,-0.5439755,-0.34391713
-0.38344982,3.9690945,8.740383,0.19853121,-0.44211373,-0.37094793
-0.3906283,3.7944186,9.127422,0.07391469,-0.67088276,-0.55833083
-0.14536397,3.4570305,9.349955,0.12644911,-0.82726425,-0.6414085
-0.7429714,3.441477,7.908877,-0.051465396,-0.77778417,-0.76159626
-0.74596244,2.5070798,7.8203425,-0.37965274,-0.94882643,-0.6420194
-0.92482597,2.955136,8.841479,-0.7663304,0.4268421,-0.6617198
-2.7242286,3.0311081,9.107681,-1.1030699,1.9549215,-0.31230485
-1.0516455,1.0893325,9.239884,-1.2718215,1.0064005,0.068264194
-0.15613168,1.3734802,9.202198,-0.9830349,0.5346598,0.003970624
-1.6582261,3.057429,9.067601,-0.05513059,-1.0317514,-0.11255192
-4.1401815,5.026124,9.204591,0.5861252,-1.465313,0.5882632
0.52342993,3.7250266,8.887542,1.1267409,-1.4781412,0.820392
0.09990034,3.559922,12.076576,1.6334536,-0.8749117,0.43233988
2.4418755,3.5288153,6.253642,1.832443,-1.0499246,0.26206118
0.887139,3.8560338,5.331807,1.258077,-2.1337523,-0.29458976
0.5491528,2.981457,5.8468623,0.6571383,-2.2670736,-0.11056661
1.4608182,2.8666015,6.026922,0.18875736,-2.061212,0.31642818
2.039283,2.8630123,6.4761744,-0.3295618,-2.2967007,0.5862779
3.0185459,2.8815567,6.712466,-0.59956425,-2.1342103,0.77824235
3.6693935,2.7667012,6.8482585,-0.7806858,-1.884672,0.47861293
3.2937205,1.9830518,8.282756,-0.61743206,-2.3452644,0.537256
4.3034916,1.5978073,8.874381,0.074830994,-2.4717135,0.700357
5.2540402,2.036292,8.201998,0.5644395,-2.6971228,0.70005155
5.8432727,1.6540387,7.11446,0.7200574,-2.6610818,0.70066243
5.0123653,0.8069794,6.10768,0.8194757,-2.7317894,0.8978192
4.49731,0.05383851,5.9641104,1.2473868,-3.9635992,1.2890784
5.1816573,-0.80757767,5.3856454,2.1476495,-5.432272,1.8307631
6.318846,-1.2257234,5.0482574,2.8588493,-6.446614,2.330909
7.9011,-1.7096717,4.1024942,3.524998,-6.6410217,2.8533516
8.997013,-1.7946169,2.585445,4.0381246,-6.1921883,3.2360587
10.305887,-1.238884,1.6133606,4.0274343,-5.5439076,3.6679404
11.469398,-1.0001999,1.166501,3.9203804,-5.1385984,3.8822014
15.213567,-0.41455653,-0.6478567,3.450014,-2.8211284,3.3260086
16.024733,0.6047859,-1.5678971,2.876259,-1.2165382,2.960253
16.892729,0.6346962,-1.9758734,2.5657868,-0.3623958,2.5126414
16.967505,2.2941186,-2.7876384,2.4103215,-0.007330383,1.5482379
14.130815,2.1619153,-4.5768714,2.0486894,0.19868392,0.86926126
12.341581,1.4237294,-5.0440702,1.3686435,0.49281552,0.79443026
11.708679,1.2628121,-4.034299,0.9266826,0.54550266,0.817185
10.868798,1.1623136,-3.3924243,1.0903945,0.05879578,0.6910413
10.000204,1.0420742,-4.013362,1.2716687,-0.29657507,0.5749769
9.2075815,0.55334026,-4.755735,1.0881038,-0.3200934,0.44913867
7.9298143,-0.4546363,-4.761717,0.70463306,-0.24174993,0.50762904
7.9148593,-1.0091729,-5.0344987,0.32345316,-0.13805555,0.65041876
8.170293,-1.8873389,-3.1543384,0.105068825,0.09590584,0.6067419
7.753942,-3.1316066,-4.453043,0.09682214,0.28955013,0.5401576
7.1449685,-3.4420755,-6.778867,-0.9257663,1.2315043,0.59406644
8.429316,-2.1044874,-1.6175481,-0.9130908,0.67271537,0.7237226
10.023534,-4.0390844,-2.0003998,-0.15653422,-0.20738874,0.3726278
8.637491,-4.35075,-1.8735801,-0.03894266,-0.3501785,0.27152961
10.116854,-4.9399824,1.0091729,0.62598413,-0.6962337,0.60032785
10.814362,-4.0420756,-2.3700907,0.9300423,-0.47219884,0.20326541
8.780462,-2.510071,-0.637089,0.7826711,6.11E-04,0.16050485
9.392427,-3.1842487,-0.79740816,0.9656252,0.013744468,0.076816306
9.579665,-3.5347972,-1.2999009,0.8762862,-0.019394971,0.08032878
10.102497,-3.2297122,-1.090529,0.77198094,0.17211129,0.14431691
8.252846,-3.1698918,-1.2293127,0.7339546,0.111941054,0.2929099
7.5960155,-3.8614175,-1.6079768,0.57910025,-0.25396723,0.7643451
8.052446,-3.589832,-2.423331,0.07666359,1.0074695,1.7006488
8.432905,-4.464409,0.19082761,-0.25518894,1.717753,1.3203852
7.1682982,-4.3154554,0.09092726,-0.13041973,0.93951076,1.7380643
6.934998,-8.048857,-1.4141582,0.7165449,0.9772317,0.99372506
4.256233,-7.2735825,1.4237294,0.88529646,-0.70188415,0.44990227
6.154938,-6.029913,0.0047856453,1.7176003,-1.8807014,0.40561453
9.934999,-8.592627,-1.3639089,1.2032518,-1.1210904,0.3032946
11.73201,-9.846465,1.204188,0.6081163,-0.38347065,0.14920384
8.995817,-7.7090764,-1.358525,0.19364429,-0.018020526,0.22342396
8.008778,-6.963712,-0.29850462,-0.37720928,-0.052839845,0.43875396
9.295518,-7.470392,-0.11066805,-0.20082195,0.38056904,0.60154957
9.75494,-7.9567337,-1.0779666,0.267559,0.66767573,0.06994407
10.680962,-1.3549358,-1.5260227,0.6806566,0.25244007,-0.39477167
5.1272206,-2.4029922,0.55334026,0.82970774,0.26939157,-0.13439035
5.803193,-3.8051863,1.5900307,1.0421361,-0.37507126,0.81077087
5.623133,-4.2364926,0.02871387,1.1823297,-0.56001073,0.62690043
3.3990045,-3.1884363,-0.7896315,0.64766985,-1.1047498,0.14446963
4.6342993,-5.345566,-1.9824536,0.044593163,-0.29367346,0.59742624
2.254039,-7.2179494,0.33080772,0.09117164,0.4427246,0.98731095
3.720241,-6.9248285,1.4195421,0.42332962,-0.66675943,2.2348504
7.4847493,-11.1732855,1.2735798,0.5511532,-0.6113234,0.9656252
