bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
0.9072875,3.1901786,11.582139,-0.48336333,0.6297039,-0.19321217
0.019163828,3.1428678,8.024853,0.31878012,0.145009,-0.018508954
-0.50364935,3.808212,8.741101,0.152599,0.10346372,0.12423636
-1.0689822,4.411274,7.552345,-0.43542647,0.4720449,0.45979437
0.055694874,4.052551,9.062096,-0.38962013,0.16631427,0.35539854
0.22457612,4.5406294,9.405847,-0.17656744,-0.07976161,0.37776908
0.019163828,4.1148334,8.393757,-0.2213085,0.40280277,0.39587855
-0.104802184,4.052551,7.654153,-0.23089586,0.0033289485,0.36392066
0.107197665,3.9519408,8.251225,-0.18508954,-0.36418697,0.3042659
0.30542353,4.2106524,8.490175,-0.007190529,-0.24594271,0.20213376
-0.04431635,4.5364375,8.151215,-0.13289163,-0.25979114,0.16165374
0.23954785,4.3016806,8.57222,-0.091346346,-0.17670059,0.30439904
0.23116368,4.555601,8.381181,-0.5067991,-0.6262418,0.24367903
1.4085414,3.6027997,8.668039,-0.20000322,-0.36205643,0.32463905
2.1158063,2.9853652,9.508852,-0.28415903,-0.11278477,0.15845795
3.2315006,0.32818055,14.9202385,0.06844318,0.500807,0.2511359
4.1777143,0.06946888,13.778792,0.06950845,0.32077748,0.123304255
2.8284614,1.1755811,11.386309,-0.59095496,0.18122795,0.070041075
2.6014898,0.75816894,11.089868,-0.26604956,-0.13422321,0.1934785
1.2420557,1.4522588,7.6942773,0.038615804,0.38669065,0.3394196
0.9779541,1.7157615,5.4736686,0.14727268,0.36858118,0.29148275
1.3043381,1.6247333,6.4719844,0.60107493,0.30466536,0.12530163
0.85279036,2.8218737,6.763035,0.6277065,0.4548675,0.19241323
1.0929371,3.5542912,10.049032,0.6841655,0.21411797,0.2424806
1.7606767,3.3339074,12.560692,-0.23728745,0.21411797,-0.15060163
0.7473893,2.4002695,12.3121605,-0.050866332,0.5826991,-0.03555317
0.64618033,0.5186211,12.474455,0.76619077,0.2982738,0.10612688
0.4395703,0.83482426,11.05154,-0.0838895,0.36964643,0.1785648
0.2090055,1.3899764,7.3984356,0.37204328,0.04154528,0.3223754
0.4635251,1.7109705,5.516787,0.13768531,-0.22370534,0.19134796
0.09881349,1.6822248,3.854924,0.2314285,-0.14594111,0.18069533
-0.04551409,3.0943594,5.292211,-0.01358211,-0.41971382,0.06138581
-0.16528802,3.132687,8.62552,0.105727404,0.274838,0.1114532
-0.05030505,4.152562,11.061122,-0.34487906,-0.513457,0.10399635
2.0056145,3.1853876,13.324849,-0.24154851,-0.29720852,0.64941126
3.6722686,2.0361567,15.970057,-0.5451486,-0.004261054,-0.12929636
2.136767,1.3756036,13.105663,-0.19827217,-0.6166544,0.026232114
3.2848,0.84919715,11.992964,-0.03954791,-0.48456174,0.12210583
1.6277276,1.3420669,6.238425,-0.86086607,0.21957745,-0.07283739
0.8593779,2.0319648,6.0857134,0.5005407,0.2355564,-0.18469006
0.528203,1.1749822,6.138414,-0.09387635,0.57537544,-0.23688798
0.2641015,2.687727,5.718007,-0.08002792,0.61159444,-0.08562055
0.61024815,2.223004,8.597372,-0.092811085,0.39215013,-0.088816345
-0.3551297,2.9129019,11.773178,-0.45819646,1.0334388,0.09014793
-1.2582251,1.9744732,12.852941,0.07017423,1.1420957,0.096539505
-1.9115919,0.1934349,12.050455,-0.15566163,0.2238385,0.32024485
