accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-0.15,-0.01,-0.38,-0.079,-0.29,-0.919
-0.23,0.01,-0.38,-0.069,-0.269,-0.947
-0.29,-0.12,-0.18,-0.06,-0.26,-0.95
-0.4,-0.24,0.0,-0.063,-0.256,-0.954
-0.42,-0.25,-0.05,-0.067,-0.252,-0.967
-0.36,-0.26,0.06,-0.069,-0.245,-0.977
-0.34,-0.28,0.15,-0.074,-0.238,-0.987
-0.32,-0.32,0.25,-0.086,-0.235,-1.0
-0.23,-0.34,0.35,-0.094,-0.235,-1.009
-0.11,-0.34,0.47,-0.096,-0.234,-1.009
-0.07,-0.32,0.5,-0.095,-0.235,-1.002
-0.06,-0.3,0.46,-0.086,-0.24,-0.992
-0.11,-0.26,0.36,-0.079,-0.244,-0.986
-0.19,-0.19,0.28,-0.076,-0.247,-0.979
-0.22,-0.14,0.21,-0.074,-0.248,-0.979
-0.24,-0.1,0.16,-0.08,-0.25,-0.977
-0.19,-0.07,0.16,-0.083,-0.255,-0.97
-0.12,-0.01,0.1,-0.081,-0.261,-0.963
-0.08,0.06,0.03,-0.073,-0.268,-0.95
-0.1,0.16,-0.08,-0.063,-0.278,-0.94
-0.15,0.27,-0.22,-0.054,-0.281,-0.941
-0.22,0.38,-0.28,-0.06,-0.277,-0.953
-0.23,0.4,-0.21,-0.069,-0.275,-0.965
-0.11,0.39,-0.1,-0.069,-0.272,-0.974
-0.06,0.39,0.0,-0.074,-0.268,-0.975
-0.03,0.36,0.05,-0.066,-0.264,-0.974
-0.01,0.34,0.03,-0.052,-0.262,-0.978
-0.12,0.3,0.05,-0.042,-0.263,-0.976
-0.22,0.3,0.07,-0.036,-0.264,-0.978
-0.29,0.32,0.04,-0.036,-0.26,-0.99
-0.3,0.32,0.12,-0.04,-0.254,-1.002
-0.28,0.28,0.24,-0.048,-0.251,-1.01
-0.23,0.24,0.34,-0.062,-0.249,-1.02
-0.13,0.24,0.42,-0.072,-0.246,-1.031
-0.01,0.23,0.51,-0.074,-0.234,-1.038
0.04,0.16,0.62,-0.073,-0.221,-1.038
0.04,0.04,0.64,-0.068,-0.214,-1.04
0.01,-0.06,0.64,-0.065,-0.207,-1.038
-0.04,-0.11,0.66,-0.067,-0.196,-1.032
-0.03,-0.2,0.61,-0.065,-0.191,-1.022
0.0,-0.29,0.53,-0.057,-0.193,-1.011
-0.03,-0.3,0.43,-0.049,-0.191,-0.994
-0.1,-0.3,0.29,-0.042,-0.191,-0.977
-0.14,-0.33,0.11,-0.037,-0.192,-0.966
-0.2,-0.33,-0.02,-0.039,-0.191,-0.954
-0.19,-0.35,-0.12,-0.041,-0.193,-0.945
-0.16,-0.36,-0.23,-0.043,-0.197,-0.941
-0.13,-0.33,-0.29,-0.045,-0.202,-0.933
-0.09,-0.3,-0.33,-0.044,-0.206,-0.923
-0.07,-0.27,-0.44,-0.043,-0.212,-0.918
-0.07,-0.24,-0.51,-0.044,-0.216,-0.914
-0.06,-0.18,-0.55,-0.051,-0.214,-0.914
0.0,-0.18,-0.57,-0.055,-0.214,-0.917
0.06,-0.18,-0.56,-0.059,-0.213,-0.922
0.11,-0.19,-0.52,-0.061,-0.21,-0.926
0.15,-0.2,-0.48,-0.06,-0.208,-0.931
0.16,-0.23,-0.42,-0.057,-0.205,-0.931
0.15,-0.25,-0.41,-0.054,-0.205,-0.934
0.12,-0.27,-0.39,-0.052,-0.206,-0.937
0.09,-0.25,-0.37,-0.051,-0.208,-0.947
0.07,-0.24,-0.31,-0.054,-0.21,-0.951
0.08,-0.21,-0.22,-0.057,-0.212,-0.956
0.1,-0.19,-0.19,-0.058,-0.216,-0.963
0.12,-0.15,-0.13,-0.058,-0.215,-0.965
0.11,-0.13,-0.08,-0.056,-0.212,-0.968
0.06,-0.17,-0.04,-0.052,-0.212,-0.971
0.06,-0.17,-0.04,-0.054,-0.215,-0.976
0.05,-0.16,0.01,-0.053,-0.22,-0.978
0.05,-0.12,0.05,-0.053,-0.22,-0.976
0.03,-0.1,0.04,-0.055,-0.225,-0.975
0.03,-0.13,0.05,-0.057,-0.234,-0.967
0.01,-0.07,0.01,-0.062,-0.244,-0.959
0.01,-0.05,-0.06,-0.058,-0.256,-0.947
-0.09,-0.11,-0.19,-0.056,-0.227,-0.951
-0.09,-0.11,-0.19,-0.068,-0.231,-0.944
0.0,-0.33,-0.12,-0.064,-0.25,-0.93
0.03,-0.2,-0.3,-0.065,-0.255,-0.943
