lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z
0,0,0,0.0106901415,-0.9023243,0.04512767
0,0,0,0.12492194,-0.061773747,-0.1118647
0,0,0,0.1957823,0.5790239,-0.03428481
0,0,0,-0.15118915,0.22411118,-0.13935363
0,0,0,-0.14935656,0.37010798,0.13370313
0,0,0,-0.3643811,-0.337274,0.20822869
0,0,0,0.46028697,0.18562667,0.33223432
0,0,0,0.768163,-0.4649448,0.610178
-0.6991069,3.2225955,7.9538374,0.5720753,-0.62438065,0.34811684
-0.16759412,3.2848446,7.3744407,0.36254853,-0.16256651,0.19295706
-0.9696517,3.4356794,6.9315133,0.07971791,-0.21265747,-0.0012980887
-0.31603462,3.5003228,6.7711015,0.105374254,-0.10392345,0.0066431593
-0.521936,4.2425256,6.8740525,-0.18906279,-0.14240795,-0.054443367
-0.5793968,4.1276035,7.819762,-0.14263703,-0.19372064,-0.11491902
-0.2705448,4.7548847,9.021651,-0.22266038,-0.4405102,-0.1118647
0.21068975,4.865018,10.230723,-0.28313604,-0.5785657,-0.23892467
1.1324574,5.078401,9.81892,-0.96974856,-1.1582769,-1.0226648
0.35194764,3.1914709,12.270583,-1.38025,-0.49182287,-1.1631638
0.23942018,2.7102363,10.427048,0.06994407,0.100716405,-0.20960313
0.93373865,3.8283286,8.681675,1.2189816,0.27359128,-0.37698022
-0.07182605,3.632004,6.8381395,0.7101309,-0.19860756,-0.8656724
-0.6943185,3.2441432,6.6753335,-0.02107485,0.47090074,-0.69829535
-1.5705963,3.9097314,6.988974,-0.14935656,0.41409028,-0.09231701
-1.5514427,4.5920787,8.435072,0.2134974,0.21739167,0.008475755
-2.2409728,4.5896845,9.383176,0.12980886,0.14530957,0.015195273
-2.4253263,4.3119574,11.013627,-0.14508049,0.14469871,0.58513254
-0.9624691,4.7309427,9.761459,-0.08582657,0.60956717,0.6315583
-1.0941502,3.6511576,11.638514,-0.8579602,-0.64026314,0.09216429
-1.3431472,2.3702598,9.404723,-0.14569137,0.51488304,0.71158165
-0.79966336,3.2728736,8.073547,0.40042216,-0.29512426,0.7073056
0.2801216,2.906561,7.534852,0.31856623,-0.27924177,0.27969992
-0.5770026,2.8514943,6.742371,0.05222898,-0.061773747,0.21739167
-0.35913026,3.1890767,6.61069,-0.083383106,-0.16378824,0.2955824
0.51714754,4.158728,7.7215996,-0.23182335,-0.328111,0.19601138
0.09816227,4.1419687,9.555558,-0.2770274,-0.14485142,-0.14729488
0.021547815,4.0533834,10.822091,-0.4083634,-0.014737124,-0.022067508
0.35194764,3.5817258,11.657667,-0.6160576,0.08544478,-0.16378824
0.61530983,3.6272156,12.7613945,-0.64476824,-0.3910301,-0.4386776
-0.25378537,2.1811178,10.759842,-0.21227567,0.05917757,-0.4197408
-0.06943185,3.2441432,7.642591,0.80664754,0.10132727,-0.0031306844
-0.36870706,3.205836,6.8381395,0.28496864,-0.33421963,-0.631711
-0.61291564,2.4947581,7.75033,-0.34238997,-0.028787024,-0.38675407
-0.7110779,3.1244333,7.656956,-0.064446285,0.53198725,-0.28657216
-1.4939818,3.4237084,7.803003,0.093767814,0.029245174,-0.14668402
-0.6775591,4.3981485,8.676887,0.13713925,0.031688634,-0.24136813
-2.3463178,3.6224272,11.200375,-0.1554652,-0.10514518,-0.21632266
-1.8339585,3.323152,12.864345,-0.19822577,0.8478046,0.619341
-1.4700398,4.6040497,11.142914,-0.46578476,-0.110032104,0.17402023
