accelerometer x,accelerometer y,accelerometer z,gyroscope x,gyroscope y,gyroscope z
0,0,0,0,0,0
-2.7880478,5.590461,6.2368956,0.1655017,-0.7416759,0.30400932
-2.64679,5.7365074,7.5046253,-0.3635076,-0.14424971,0.14151914
-3.4141316,4.620809,5.5521536,-0.61151886,-0.40203485,0.3901413
-1.9093759,1.3551182,5.009867,-1.3958699,-0.7722192,-0.20728491
-1.6819267,2.19668,7.3418193,-1.114261,-1.230979,3.1946237
8.9758625,-5.3833623,4.0617633,-0.6548903,-6.6414127,5.454825
11.522096,0.38067806,5.6431336,-0.41359854,-3.2315626,3.5086083
18.4988,-0.6871359,-1.3826514,-0.7398006,-1.6243762,2.4524224
9.244013,-3.4237084,-2.3630772,1.1709858,-1.2205943,-0.053957727
5.297171,-2.468422,-0.6991069,2.0616276,1.6260377,0.3803675
-2.813187,-7.0186024,-0.3842694,-0.18330236,-1.2047118,2.5519934
7.9810715,-8.866926,-3.1771057,0.45138663,0.4543982,2.6613383
9.702502,-6.6295447,-4.808754,-0.08495304,0.9345383,1.9588432
-0.8595184,-14.149732,-2.8048072,0.6248724,-0.48022562,0.9099876
0.94930094,-4.7417164,1.5693992,0.45627356,-0.315292,3.849471
-0.30047232,-3.5553896,1.9057846,0.8991509,-2.9285734,2.8818607
0.4345476,-12.670115,0.60094464,-1.7434522,-1.1497339,6.705266
-3.881001,-10.134656,-1.7022774,-0.73247015,2.3267002,-0.301969
-8.707711,-7.621941,-1.9644425,-2.921811,-0.89072704,-0.65077305
-2.7365725,-6.95755,-1.3634979,-0.9884227,-0.8479665,-0.3740511
-4.8865657,-6.8929067,-4.969166,-0.20468263,-0.9933524,-0.32029498
-3.7433343,-6.3901243,-4.155137,-6.54E-04,-0.35133305,0.13663222
-3.655946,-8.808268,-7.3418193,0.85211426,-0.51809925,0.22765115
-12.593501,-17.168821,1.7118542,1.3499694,0.9821858,0.27529866
-2.8658595,-5.2660465,4.3047748,2.0659037,0.53136724,0.2233751
-3.3291376,-6.715736,-1.638831,0.42145425,-0.5816292,0.057830613
-1.6603789,-9.635465,-0.842759,0.24247071,-0.9395963,0.21604471
-6.235698,-7.845799,1.6448165,0.9987219,0.8746735,-0.2775344
-3.1627405,-9.502586,1.3359646,0.8637207,0.48921752,0.45855823
-3.0669725,-9.598354,0.23343466,0.58150095,0.2491475,0.3021767
-2.31639,-11.471817,-1.508347,-0.0024862327,0.9082711,-0.28242132
-7.0700774,-8.015787,0.50278234,-2.2620766,0.49593705,-0.9965228
-4.012682,-9.625888,-3.394978,-1.0727222,1.792804,-1.0191247
-3.9863458,-7.001843,-1.0989386,-1.9377073,-0.43318897,-0.97636425
-3.904943,-6.603208,-1.0450691,-1.0965459,-1.4545556,-0.1089356
-3.2740707,-5.7377043,-3.3087866,1.2210768,-0.29330084,0.38830873
-1.2641385,-12.86644,-7.9487495,0.3750285,-0.8271971,0.48971236
-3.063381,-6.8929067,0.50038815,0.3835806,-0.65676564,-0.15597223
-6.7241154,-4.2197804,3.4213142,1.238181,0.4776111,0.3082854
-1.7525556,-9.739613,-0.48602295,0.92236376,-1.0403891,-0.03807523
-3.2333694,-8.588001,1.3215994,0.6792394,-0.3574417,-0.06006638
