ax,ay,az,wx,wy,wz
-0.42,-0.26,-1.41,0.07,0.34,-0.4
0.16,1,-1.41,0.27,0.22,-0.44
0.32,1.64,-0.13,0.35,0.03,-0.4
0.25,1.62,0.31,0.29,-0.13,-0.31
0.26,1.53,0.5,0.14,-0.31,-0.19
0.42,1.43,0.63,-0.02,-0.35,-0.1
0.03,1.54,0.13,-0.18,-0.26,-0.03
-0.28,1.6,-0.36,-0.33,-0.24,0.05
-0.22,1.4,-0.48,-0.48,-0.29,0.15
-0.26,1.18,-0.51,-0.59,-0.3,0.22
-0.32,1.06,-0.73,-0.66,-0.19,0.26
-0.11,1.01,-1.05,-0.61,0.1,0.2
0.4,0.8,-1.09,-0.37,0.43,0.03
0.89,0.75,-0.37,-0.37,0.43,0.03
1.46,1.07,0.28,0.25,0.63,-0.18
1.65,1.92,0.58,0.24,0.58,-0.2
1.71,2.98,-0.1,0.07,0.62,-0.2
1.83,3.27,-0.44,-0.14,0.53,-0.19
1.69,2.99,-0.31,-0.39,0.46,-0.12
1.39,3.29,-0.66,-0.58,0.23,-0.03
0.42,3.6,-0.4,-0.65,0.09,0.1
-0.59,3.3,-0.47,-0.72,0.34,0.03
1.23,4.9,-2.51,-0.79,0.22,-0.29
-0.12,5.7,-2.72,-0.81,-0.01,-0.54
-1.29,4.24,-2.88,-0.81,-0.23,-0.74
-2.01,2.11,-2.45,-0.89,-0.32,-0.89
-2.66,0.41,-1.1,-1.05,-0.2,-0.96
-3.12,-0.32,0.68,-1.05,-0.2,-0.96
-2.84,-0.77,1.91,-0.92,0.26,-0.69
-2.59,-1.1,2.19,-0.63,0.28,-0.43
-2.85,-1.32,1.73,-0.17,-0.14,-0.4
-3.46,0.03,0.9,0.67,-0.57,-0.67
-3.55,1.41,-1.71,1.47,-0.8,-0.75
-2.71,0.19,-2.36,1.99,-0.7,-0.81
-2.75,-0.29,-2.5,1.99,-0.7,-0.81
-2.65,-0.36,-1.6,2.48,-0.65,-0.77
-2.04,0.05,-0.53,2.45,-0.9,-0.61
-1.08,0.67,0.73,2.31,-1.15,-0.35
-0.08,1.27,1.26,2.31,-1.15,-0.35
0.42,1.53,1.74,1.55,-1.24,0.21
0.51,1.74,2.24,1.55,-1.24,0.21
0.04,1.99,2.22,0.94,-1.06,0.44
-1.25,1.47,1.62,-0.41,-0.21,0.43
-2.22,1.46,2.9,-0.97,-0.29,0.36
-2.34,1.78,2.18,-1.33,-0.46,0.28
-2.5,1.55,0.97,-1.56,-0.59,0.12
-2.73,0.68,0.48,-1.71,-0.6,-0.14
-3.35,-0.01,-0.2,-1.8,-0.49,-0.49
-4.38,-0.06,-0.49,-1.82,-0.48,-0.72
-3.62,0.55,-1.07,-1.74,-0.78,-0.85
-2.39,0.21,-0.82,-1.67,-1.05,-0.97
-1.86,-0.53,-0.93,-1.67,-1.05,-0.97
-1.79,-1.52,-1.29,-1.38,-0.9,-1.01
-1.78,-1.88,-1.78,-1.18,-0.71,-0.91
-2.05,-1.42,-1.56,-0.92,-0.69,-0.76
-2.18,-0.99,-0.93,-0.57,-0.9,-0.6
-2.16,-1.16,0.01,-0.3,-1.15,-0.58
-2.16,-2.19,0.32,-0.14,-1.08,-0.61
-2.28,-3.01,-0.07,-0.04,-0.84,-0.64
-1.85,-3.13,0.07,0.02,-0.58,-0.66
-1.3,-2.84,0.33,0.02,-0.58,-0.66
-0.79,-2.45,0.36,0.19,-0.25,-0.47
-0.27,-2.22,0.34,0.19,-0.25,-0.47
-0.08,-2.06,0.03,0.36,-0.21,-0.33
-0.23,-1.97,-0.38,0.36,-0.21,-0.33
-0.51,-1.88,-0.75,0.46,-0.03,-0.52
-0.52,-2,-0.92,0.46,0.08,-0.69
-0.35,-2.29,-1.08,0.45,0.19,-0.85
-0.36,-2.29,-1,0.45,0.19,-0.85
-0.56,-2.12,-0.51,0.34,-0.04,-1.13
-1.23,-1.62,0.5,0.34,-0.04,-1.13
-0.61,-1.25,0.49,0.25,-0.24,-1.12
0.33,-1.07,0.13,0.08,-0.49,-0.81
0.51,-0.66,0.3,0.08,-0.49,-0.81
0.4,-0.45,0,-0.11,-0.59,-0.58
0.1,-0.47,-0.84,-0.18,-0.46,-0.58
-0.14,-0.65,-1.47,-0.19,-0.32,-0.71
-0.26,-0.86,-2.05,-0.16,-0.12,-0.93
-0.33,-1.06,-2.74,-0.11,0.13,-1.19
-0.34,-1.04,-3.26,-0.02,0.38,-1.35
-0.15,-0.57,-3.37,0.15,0.57,-1.29
0.48,0.17,-3.16,0.39,0.78,-1.01
1.37,0.65,-3.07,0.66,1.06,-0.63
1.84,1.1,-3.06,0.66,1.06,-0.63
1.9,1.29,-2.98,1.1,1.6,0.18
1.8,1.28,-2.8,1.2,1.84,0.51
1.67,1.12,-2.6,1.24,2.15,0.77
1.52,0.57,-2.55,1.22,2.48,0.96
1.35,-0.26,-2.57,1.2,2.82,1.04
1.12,-1.23,-2.69,1.17,3.17,0.98
0.66,-2.05,-3.02,1.15,3.62,0.76
-0.07,-2.46,-3.47,1.21,4.09,0.5
-0.68,-2.47,-3.59,1.17,4.63,0.58
-4.45,2.09,-2.84,0.77,3.94,1.25
-11.32,13.39,1.94,0.43,3.75,1.79
-4.01,12.65,-1.04,0,2.67,1.89
-1.71,8.99,-3.16,-0.52,2.51,1.94
-0.75,5.03,-4.87,-0.78,2.3,1.92
-1.34,1.16,-3.77,-0.73,2.23,1.7
-0.59,-1.42,-3.76,-0.56,2.47,1.37
1.22,-2.75,-3.34,-0.43,2.63,1.1
3.34,-3.81,-2.43,-0.46,2.82,0.91
4.29,-4.1,-1.37,-0.46,2.82,0.91
2.85,-4.21,0.54,-1.79,2.76,0.69
0.89,-3.93,2.69,-2.64,2.44,0.51
0.3,-2,2.05,-2.64,2.44,0.51
0.24,0.4,0.24,-3.16,2.64,0.37
1.07,1.39,0.24,-3.06,1.75,0.8
2.95,0.1,1.26,-3.06,1.75,0.8
2.91,-1.55,0.82,-2.7,0.72,1.29
1.68,-2.31,-0.76,-1.9,-0.59,1.31
0.32,-2.64,-2.14,-1.17,-1.39,0.88
0.39,-2.19,-1.38,-1.17,-1.39,0.88
1.99,-0.35,0.69,-0.33,-3.1,0.6
2.38,1.61,0.49,0.9,-3.43,-0.61
0.82,0.38,0.49,0.9,-3.43,-0.61
0.38,-1.26,0.09,0.14,-3.57,-1.64
1.68,-0.76,0.76,-0.31,-3.94,-1.74
2.6,-1.16,0.61,-0.31,-3.94,-1.74
3.38,-1.86,-0.32,-0.71,-4.99,-1.44
4.89,-2.06,-1.31,-0.71,-4.99,-1.44
4.98,-1.21,-2.28,-0.87,-5.61,-1.06
4.03,-0.86,-2.46,-1.15,-5.41,-1.14
2.72,-0.86,-1.99,-1.15,-5.41,-1.14
2.32,-0.65,-1.32,-2.23,-4.56,-1.03
3.42,-0.22,-0.2,-2.84,-4.68,-0.58
3.7,0.44,0.77,-3.21,-4.95,-0.02
3.11,1.33,0.42,-3.21,-4.95,-0.02
3.39,2.81,-1.7,-2.94,-4.63,0.69
4.2,2.86,-3.05,-1.57,-3.7,1.91
3.27,2.45,-1.49,-1.02,-3.99,2.23
1.71,0.7,-0.25,-0.67,-4.63,2.09
-1.76,-1.22,0.09,-0.38,-5.32,1.46
-5.58,-1.78,-1.23,0.09,-5.97,1.01
-5.14,0.04,-3.44,0.09,-5.97,1.01
-2.86,2.1,-3.66,1.55,-7.35,1.91
-2.22,1.6,-2.96,2.25,-7.79,2.39
-3.02,-0.48,-3.11,2.25,-7.79,2.39
-3.1,-1.7,-2.58,3.03,-8,2.62
-2.42,-1.89,-1.58,3.16,-7.81,2.54
-2,-1.45,-1.26,3.16,-7.43,2.69
