ax,ay,az,wx,wy,wz
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.4128,-0.0096,-0.5405
0.3891,0.0407,-0.5118,0.083,0.0762,-1.0623
0.366,-0.131,-0.1663,0.083,0.0762,-1.0623
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.366,-0.131,-0.1663,0.488,-0.3333,-1.3377
0.8284,-0.4799,0.9288,0.488,-0.3333,-1.3377
0.8284,-0.4799,0.9288,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.8988,0.2284,-1.7384
0.2766,-0.2605,-0.4339,0.6482,-0.5764,-2.2032
1.5031,-0.8387,-0.8038,0.6482,-0.5764,-2.2032
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
1.5031,-0.8387,-0.8038,0.2072,0.5409,-3.3798
2.758,-1.9545,-2.6449,0.2072,0.5409,-3.3798
2.758,-1.9545,-2.6449,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,-1.5617,-0.9266,-5.0684
-1.7461,-1.041,-0.6859,0.3454,-1.6509,-1.1854
-9.4637,1.3594,2.848,0.3454,-1.6509,-1.1854
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-9.4637,1.3594,2.848,0.5109,-1.1029,-0.6264
-0.5231,-0.0154,0.2048,0.5109,-1.1029,-0.6264
-0.5231,-0.0154,0.2048,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,1.4168,-0.9836,-1.1902
1.6561,-0.0385,0.4239,3.4885,-0.1135,-1.5277
4.0605,-0.3857,-3.1395,3.4885,-0.1135,-1.5277
4.0605,-0.3857,-3.1395,3.4885,-0.1135,-1.5277
