lsm6ds3c_accelerometer.x,lsm6ds3c_accelerometer.y,lsm6ds3c_accelerometer.z,lsm6ds3c_gyroscope.x,lsm6ds3c_gyroscope.y,lsm6ds3c_gyroscope.z
-0.94337034,6.773483,7.963912,-0.31199023,0.14125843,0.010842538
-0.6466603,5.519644,7.009176,0.13514996,-0.002901525,0.24678229
-0.8787641,4.5074797,6.702894,-0.79578125,1.058751,0.2003579
-1.2807583,4.5266223,8.073982,-0.7469135,0.96834564,0.07941014
-2.5704896,3.7130625,5.59741,-0.46958882,1.2432269,0.32252735
-4.2406797,2.5118656,4.6618166,-1.8574338,5.502207,0.8002099
-7.157531,0.76271224,4.8675995,-1.7254908,4.1754465,0.16248538
-8.942576,-0.048454657,-0.90388876,-2.7065115,-0.44271156,0.6413896
-6.140581,-4.094718,2.0895324,-3.7280009,1.1027321,1.5454435
-5.9706907,-5.8677993,6.466005,-5.2929916,3.8539882,0.59252185
-8.803793,-4.6235313,12.230315,-3.239323,3.57422,0.08674031
-10.237094,-3.8410785,11.737393,-1.7499247,1.426481,1.3243169
-11.03151,-3.9798622,9.15793,-4.1604805,0.0361927,-0.14064758
-8.87797,3.0622149,28.85804,-0.19348587,3.0403395,-0.32512346
-11.289935,-1.649253,12.2374935,-0.96071005,1.0526426,-0.64398575
-8.018947,-3.0442686,2.513062,0.23288552,1.0575293,-1.1717577
-8.509476,-5.480162,-3.7010984,-1.628977,2.5247843,-1.3879976
-8.889935,-3.3457642,-5.959923,-0.7701257,3.0000236,-1.794822
-9.904491,-1.8765712,3.185445,0.39781427,3.1405184,-1.0789089
-9.263215,-4.13061,-2.868396,1.8284186,-0.028557109,0.4691307
-9.263215,-1.5774683,3.3433714,1.5559807,-2.403684,1.143506
-5.853442,-3.5682967,2.9365916,2.0251114,-0.22158484,0.7342384
-5.8127646,-4.0516467,2.027319,2.6361113,0.58595526,1.1154071
-5.925227,-4.7838507,0.61794645,1.2212363,-0.4341597,-0.61710846
-11.160723,0.14057833,3.671188,0.65192676,0.5053234,-0.4986041
-10.485947,-1.3022938,2.4747767,0.42957833,0.7692094,-0.11010522
-9.67478,-1.9890338,3.1567314,0.19012621,0.26342788,0.38972056
-6.489933,-3.754937,1.6588243,-0.2533489,-0.22036316,-0.3605526
-13.20898,-2.1158533,3.4725838,-0.2301367,-0.8251019,0.14293826
-11.742179,-2.905485,-0.028115666,0.023975754,0.9035958,0.2895416
-7.0019975,-3.4342988,0.9840483,0.40270105,0.61161083,0.4434751
-10.033704,-2.4867408,1.5631114,0.33795124,0.28419667,0.6255076
-6.4755764,-4.618746,-0.53300124,-0.33642414,0.33550787,0.19058435
-9.15793,-1.7401803,1.1754742,-0.7200362,-0.30588177,0.54243237
-8.72483,-2.4029922,-0.27696922,-0.6956023,0.023975754,0.66704524
-8.873184,-1.622932,0.2542374,0.1485886,1.3372973,-0.5438068
-11.830713,-1.5966109,-0.71246296,0.24021569,0.9671239,-0.72828263
-14.477175,-2.0871396,0.31405798,0.033749312,-0.01267508,-0.066124216
-15.465411,-1.326222,0.69930243,0.16324893,0.2377723,0.3286358
-13.2018,-1.4051851,-1.1910275,0.09972081,-0.13973132,1.0225583
-7.231708,-1.0342976,1.2951152,-0.5233434,-1.2551384,1.127624
-5.805586,0.12143575,4.211966,-1.1842802,-0.6223006,0.47646087
-10.3543415,0.17168503,8.624331,0.75699246,-2.7445366,0.20280129
-11.993425,1.521237,6.2602224,1.4655753,-3.242988,0.15393351
-12.555738,2.8779674,7.98784,3.4326563,-2.3328257,0.6218425
-13.503297,1.0929217,4.013362,3.9298859,0.45401222,0.67437536
-10.349556,0.33918262,2.1661026,3.5145097,-0.15683503,1.651731
-5.2456656,-0.23988047,0.70169526,2.2853322,-1.1757283,1.2033691
-6.8201427,-2.2929223,-0.360718,0.21822518,-1.8172706,0.18447587
-8.87797,-5.681159,1.3453646,-3.0267482,-1.6291296,0.907719
-0.32123643,-7.147959,3.1375887,-4.134825,-1.3198882,0.7281299
-3.0562327,-4.9322057,2.9748766,-2.8457847,1.4716837,-1.5138322
-7.6145597,-1.9507487,4.5445685,-1.7914623,3.4935882,-2.2798347
-12.225529,-1.8861425,5.8486567,-1.8464385,0.6372664,-2.2566226
-15.5850525,-2.1541386,6.9326053,-2.3546634,1.3812784,-1.9438686
-10.256236,-0.53180486,25.692335,-0.7029325,0.021532366,-0.9701782
-8.19123,-4.1641097,4.6091747,-1.3931899,1.2994249,-1.9450904
-6.477969,-2.714059,6.4013987,-1.8843111,-1.4764178,-1.9316517
-5.453841,-6.0951176,4.4751763,-1.0352334,-0.07375981,-1.7887135
-5.2695937,-6.992426,4.02054,-0.5587725,-0.13240114,-1.4674078
-7.5667033,-13.716258,4.1162534,-0.6296308,0.08628218,-0.8980982
-13.177873,-11.660823,-4.691727,-0.68949383,2.7654583,0.57297474
