accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0,0,0,0,0,0
-0.15322891,3.0873232,9.264363,-0.18330236,-0.73068035,-0.12665069
1.2749124,2.7102363,9.664195,0.9657352,-1.5101445,0.5007079
2.0099323,5.0385976,6.525397,0.76292795,0.1330831,0.75727135
2.7700913,3.4380736,8.759187,-1.4221371,-1.8235183,1.1812118
5.163096,2.1416135,10.372879,-0.1313788,-1.5406877,1.2239723
5.529409,2.5941176,7.896077,1.841105,1.1911017,-0.3178515
1.9847932,2.0769699,6.4990606,1.7836837,1.7249979,-1.2726339
4.1395745,5.094861,4.297592,0.3957979,3.7115319,0.1635103
0.51954174,5.3606176,6.567295,-0.78195024,1.9577376,0.495821
-3.9911342,4.5166616,7.8290396,-1.5229299,3.0689015,-1.0875417
-6.4344172,4.298789,7.7572136,0.91930944,4.062168,-0.84441733
-6.1076083,1.4161704,3.570952,2.136153,1.1538389,-2.9525132
-11.347319,0.62847793,2.9376855,1.8753135,2.8422706,-3.3220868
-13.358448,1.7417817,2.27928,-0.19429792,-0.21694268,-3.7777922
-10.196905,-1.9393034,-0.055066638,0.8802141,-0.40875438,-1.4400109
-9.944317,-5.771223,-0.60812724,-0.66405326,1.5692273,-1.9305358
-13.898341,-3.2980127,-1.6292542,2.194796,3.3401258,1.3595845
-12.154165,-5.9292407,0.9900024,-0.36472932,-1.448447,2.1702027
-12.834118,-3.705027,0.25737667,2.4385314,0.8050349,2.4713593
-7.1502833,-4.423288,-0.5590461,-0.036694687,1.1006936,1.4261688
-3.5218706,-3.6882677,-0.2813187,1.0445367,1.3004466,-0.11443339
-5.695806,2.8874073,-1.0821792,-0.13687658,-1.3861388,-1.0496681
-13.727156,-2.918532,-3.8618474,0.98345035,-1.7654861,-1.2824078
-15.799337,-3.989937,1.7597382,-1.9462595,-1.4814337,-2.5224643
-3.5793316,-4.674679,-4.748899,0.76170623,0.34016642,-0.30013642
-11.587936,-5.9364233,-3.5853171,-0.6548903,-0.28474873,-1.9299248
-5.3833623,-9.779117,2.3211784,-1.1881757,-0.28047267,0.5135361
-4.0306387,-4.2640734,-0.5243302,-0.026309976,3.7396317,-1.8101953
-3.9025488,-4.5896845,0.23104046,2.2534392,-0.528484,-1.6745832
