lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-1.3040884,3.7106698,9.139386,-0.1994475,-0.18417588,0.1553125
-1.4919249,4.0887356,8.875577,-0.04917465,-0.15302174,0.14156802
-1.3639089,4.171288,8.626724,-0.07315111,-0.11438452,0.09514226
-1.1066805,4.313661,9.014361,-0.15225816,0.009010263,-0.032986723
-1.1676974,3.9415772,8.87139,-0.16814066,0.0954477,-0.1553125
-1.6528423,3.8500516,8.722437,-0.18845193,0.14156802,-0.12568553
-1.6103697,3.802195,8.621938,-0.1797471,0.14660765,-0.025198191
-1.5062819,3.946961,8.468798,-0.17547104,0.0954477,-0.0032070426
-1.4967105,3.9415772,8.550154,-0.236863,0.06154467,-0.04734206
-1.4249259,3.8560338,8.57468,-0.30482176,0.06078109,-0.09239337
-1.4153546,3.8506498,8.617751,-0.40698898,0.027641652,-0.18784106
-1.442872,3.6981075,8.627322,-0.45723262,-0.008399397,-0.23441954
-1.3459628,3.4576287,9.087342,-0.44104472,-0.13515393,-0.23487769
-1.2927225,3.2943187,9.4229355,-0.39354995,0.038789943,-0.21120666
-1.3740784,3.3804603,9.264411,-0.36926803,0.29886582,-0.2350304
-1.6235301,3.6346977,8.770891,-0.40607268,0.26419923,-0.34040466
-1.6564314,3.5676985,8.861818,-0.38331795,-0.005192355,-0.40011674
-1.4015958,2.9084759,8.968898,-0.2932153,-0.117438845,-0.41431937
-1.524228,2.6548367,9.031111,-0.27977628,0.009773844,-0.2790127
-1.7383857,2.7972097,9.102896,-0.34254268,0.22617286,-0.10170906
-1.6773686,2.9455647,9.092726,-0.35353827,0.4529566,-0.032223143
-1.7347964,3.0263224,9.135797,-0.300393,0.44638976,-0.06918049
-1.8155541,2.9503503,9.035298,-0.14828753,0.41538838,-0.1470658
-2.158326,2.806781,8.800801,-0.061239243,0.24678956,-0.1600467
-2.2534406,2.815754,8.872586,-0.009773844,0.06704246,-0.108123146
-2.0195422,2.801397,9.092726,0.043066,-0.017715093,-0.094989546
-1.9531415,2.868396,9.078369,0.056046885,0.03481932,-0.13652839
-2.143969,2.8390841,9.001799,0.024892759,0.05024367,-0.17195857
