accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0.1950603066,-0.3381713399,0.4640063355,0.1090462059,0.1709810048,-0.08328354359
0.2705961525,-0.3044365358,0.5320674798,0.06138075888,0.2205512822,-0.0544699654
0.3525504322,-0.2387590718,0.3542243568,0.04067739099,0.2439735979,-0.02370492928
0.4015904305,-0.1025716089,0.1498240662,-0.001126967603,0.1896696687,-0.0247951895
0.3506513206,0.242070096,0.2088894187,0.06382044405,0.200590685,-0.1057994589
0.1920779481,0.480802572,0.9299982919,0.3549766541,0.4416855276,-0.286847055
0.0568755873,-0.3207029032,0.7838900313,0.5212073326,0.6271063685,-0.2646826804
0.06542747134,-0.5532613668,0.7086065345,0.5739917755,0.6661702991,-0.1879268587
-0.1191519742,-0.4889376554,1.081540268,0.4003780186,0.6624729633,-0.1476762444
-0.5757498601,-0.05832710128,1.621478335,0.1638153791,0.7910156846,-0.2483186722
-0.8135543711,0.5765218308,1.95767253,0.0529579781,1.006211519,-0.4350231886
-0.7998927793,0.5394546675,2.196979298,-0.1138321087,1.131873369,-0.5765581131
-0.4483320888,0.6741299722,1.819482203,0.2261364907,1.402318597,-0.6662681699
-0.843460849,0.2706222367,2.404211013,0.4847175777,1.802740216,-0.7446092367
-0.6976271676,0.3949368909,5.215500606,0.7554218173,2.998910666,-0.8536192775
-1.798003946,-0.8356821779,-0.554168837,1.130215049,2.713455915,-0.8644826412
-2.115160262,-1.177834404,1.163617078,1.210241199,2.793011665,-1.096492171
-3.111652303,-1.027466732,-0.4232224897,1.1737324,2.438628435,-1.557290435
-3.446062245,-2.466469609,-0.3701823889,1.403995037,2.45447278,-2.13591218
-1.662053799,-5.085510536,-0.8258382447,1.573402643,2.485003233,-1.987372875
-0.7535369786,-5.458144994,-0.6744757169,1.713992953,2.504432917,-1.544272065
-1.075688035,-4.445497061,1.040905475,2.021041155,2.82421279,-1.329799175
-0.8745359324,-4.019147964,1.583936832,2.452295542,3.096482277,-1.123347878
-1.521536198,-2.857905798,2.719855172,2.559462309,3.145402431,-0.9599145055
-2.379185877,-1.676211796,4.14865931,2.313750029,3.102163076,-0.9644693136
-4.11421928,-0.3937012117,1.269827044,1.773672819,2.33689785,-1.210759521
-5.801453989,1.547992828,5.753998995,1.408837438,2.566110849,-1.671307683
-7.165758475,3.642909928,6.348357219,1.314901114,3.410123348,-2.409689903
-7.386506674,5.041394331,5.844641974,1.610014677,4.438971043,-3.21164012
-6.806149503,6.055812781,3.621923254,2.092103243,4.973457813,-3.957386255
-6.192236683,6.520500085,1.886639092,2.611011744,5.080787659,-4.55757618
-5.517203333,6.407762764,0.7356780813,2.988653421,4.924022675,-5.035135269
-4.771114332,5.80755406,-0.7495873642,2.897367001,4.533507347,-5.213312149
-3.931701735,5.357868511,-1.733760898,2.443511963,4.057216644,-5.236461639
-3.134846424,6.546055382,-2.961581276,1.565483809,3.565059662,-5.333808422
-2.134560544,8.642846459,-4.700381923,0.866268754,2.775651455,-5.467461109
